Edad,Antiguedad_anios,Salario_mensual_COP,Horas_semanales,Distancia_trabajo_km,Satisfaccion_laboral,Balance_vida_trabajo,Anios_sin_ascenso,Trabajo_remoto,Horas_extra,Renuncia
56,27,6467785.90,47.10,56.33,4,4,4,0,1,0
62,0,2538166.73,50.31,12.08,2,5,6,1,0,0
42,24,4040162.59,37.76,29.56,4,5,8,0,1,0
39,18,3908307.08,53.50,8.45,1,2,10,0,1,1
49,3,2226399.41,37.34,38.35,3,4,0,1,1,0
42,24,5408210.52,30.00,11.18,3,4,3,1,1,0
50,16,2038773.20,44.32,38.64,1,3,0,1,1,1
63,24,3542245.10,54.83,15.75,2,2,10,0,0,1
42,24,3608670.60,40.67,48.66,1,2,2,0,1,1
25,7,3685311.70,34.35,44.90,4,1,5,0,0,0
50,17,5334989.88,40.47,41.64,1,4,4,0,0,1
23,1,1400000.00,40.91,28.92,3,4,2,0,0,0
48,4,2499147.49,41.26,52.13,4,1,1,1,0,1
43,7,1400000.00,39.31,1.23,3,3,6,0,0,0
19,1,1582204.07,45.57,23.71,1,3,7,1,0,1
56,29,8261792.89,41.85,16.26,4,2,7,1,0,0
47,6,2353631.29,44.85,43.57,5,4,0,1,1,0
48,16,5055353.26,36.08,27.94,5,1,0,1,1,0
23,5,3840607.68,41.27,63.82,5,5,8,1,0,0
33,1,3130875.36,52.64,1.96,5,4,9,1,0,0
64,21,5319762.57,53.76,6.66,4,5,3,0,1,0
26,5,3164066.98,46.37,39.43,3,4,10,1,1,1
49,14,3723834.31,46.95,25.69,1,5,6,1,0,0
36,18,3978773.56,43.44,43.56,5,5,1,1,0,0
23,5,2967827.15,51.27,31.94,4,2,5,0,0,1
42,2,1400000.00,31.71,46.77,4,5,7,1,1,0
28,0,2065893.96,41.64,25.30,5,4,8,0,1,0
42,1,1527242.35,41.60,46.52,1,5,5,0,1,1
56,7,2296475.71,36.46,45.80,5,5,10,1,1,0
63,15,2908372.63,54.22,6.68,1,2,7,1,1,1
42,24,6576029.05,37.39,13.29,5,4,2,1,1,0
24,6,2369430.98,43.51,14.89,4,5,0,0,1,0
46,24,6695731.67,36.99,54.35,3,1,0,0,1,1
54,20,6453295.25,46.59,22.08,5,5,9,0,0,0
64,22,4216481.11,34.86,26.54,2,5,2,0,1,0
52,11,2722409.75,31.76,2.37,4,2,0,0,0,0
32,14,3985877.26,39.65,50.43,3,3,0,0,1,0
39,14,3246051.38,39.00,31.75,1,2,8,0,1,1
63,0,3473668.50,47.80,36.81,2,4,10,0,0,1
25,7,3810905.05,37.24,57.78,2,3,6,0,1,1
52,9,3293575.39,45.85,32.01,3,1,6,0,0,1
22,4,1400000.00,39.12,47.50,2,4,7,0,0,1
36,10,4502381.79,62.71,54.85,4,1,10,1,1,1
37,3,1400000.00,36.34,63.38,3,4,4,0,1,1
58,5,1400000.00,47.84,10.48,3,4,3,0,1,1
39,14,2883991.33,45.94,7.15,4,2,8,0,0,0
37,19,3196220.63,37.69,6.88,4,3,5,0,0,0
31,9,4340844.40,48.79,16.30,5,2,3,0,1,0
30,12,3496649.06,39.10,29.95,4,4,6,0,1,0
48,3,3554399.78,36.49,0.85,5,3,10,0,1,0
34,16,4316897.12,52.39,50.91,2,1,0,1,0,1
59,22,6125533.86,35.94,38.07,1,4,4,0,0,0
55,17,4921981.74,48.81,11.55,3,3,4,0,1,1
29,11,3695028.88,49.89,15.61,4,1,0,1,0,0
32,1,2950910.76,44.27,50.38,4,4,6,1,0,0
47,3,1400000.00,33.71,61.09,2,2,4,0,1,1
56,28,6175252.50,44.02,47.43,1,2,2,0,0,1
48,13,4315413.59,44.29,7.79,4,3,10,0,0,0
30,10,4604168.87,33.44,44.18,4,5,8,0,1,0
48,29,8000725.11,40.58,35.10,3,5,9,0,0,0
37,8,3509513.29,45.48,38.54,2,4,6,0,0,1
24,6,3518655.13,36.70,14.58,3,4,8,0,0,0
61,24,7085428.96,36.23,63.86,3,4,8,1,0,0
33,9,4686568.21,45.05,13.82,3,3,2,1,1,0
64,0,2704274.96,46.47,56.32,1,5,7,0,1,1
31,13,3629794.68,45.28,36.70,1,4,7,0,0,1
63,19,3491855.79,52.48,23.97,1,3,6,0,0,0
56,7,2413771.43,44.26,33.66,5,5,9,1,0,0
47,14,4825715.59,51.28,40.76,1,1,4,0,1,1
63,2,2242646.53,41.79,63.45,2,3,0,1,0,1
52,30,5603283.08,50.12,44.09,3,5,8,0,0,0
24,6,2831159.89,52.11,60.04,3,3,7,0,1,1
37,14,3884877.89,44.76,53.93,1,4,5,1,1,1
56,29,6588583.19,45.81,29.24,2,2,6,0,0,1
47,0,2626646.85,50.40,37.71,3,1,5,1,0,1
39,5,1480466.32,41.32,7.78,4,5,9,1,0,0
44,0,1400000.00,51.60,42.27,4,4,9,1,0,1
27,9,4402157.77,39.20,59.70,5,3,7,0,0,0
42,20,2800230.89,37.74,31.76,4,3,7,0,1,0
27,9,3641014.93,42.92,44.54,4,4,2,0,0,0
50,24,4740042.25,41.82,39.06,2,2,5,1,1,1
46,16,3042040.09,47.14,48.94,4,5,4,0,1,0
41,23,5894039.85,51.27,6.52,2,4,10,0,0,0
51,6,2440979.55,40.44,5.98,3,5,9,1,0,0
51,9,3013606.85,39.89,33.66,2,1,2,1,1,1
22,4,2369910.95,43.90,61.83,2,5,10,0,1,1
20,2,2427869.11,46.57,20.38,5,5,2,0,1,0
30,12,5221219.48,51.87,33.69,5,4,8,0,1,0
46,1,1400000.00,36.71,3.96,1,3,3,1,0,1
61,10,3145135.79,48.95,55.12,4,1,8,0,0,1
26,6,3285525.73,36.18,39.92,3,2,0,1,0,0
48,0,4935668.76,46.26,58.16,1,2,10,1,1,1
40,3,2524099.80,46.68,29.05,5,5,1,1,0,0
47,15,3756912.57,40.28,9.24,5,5,8,1,0,0
32,14,3895987.61,45.39,6.71,3,5,1,0,1,0
44,23,5449871.86,50.87,34.39,5,4,2,0,0,0
25,2,3100349.21,43.29,47.95,4,3,6,1,1,1
21,3,2012350.22,50.80,55.95,1,1,3,1,0,1
37,14,4151637.08,55.93,35.20,4,5,2,0,0,0
38,20,6380236.25,31.94,13.30,5,5,2,0,0,0
58,30,7081142.42,41.66,30.93,3,4,6,0,0,0
24,4,2668125.10,33.41,25.39,5,3,4,1,1,0
48,18,4520675.83,42.87,27.30,4,3,2,1,1,0
31,12,3787330.01,35.14,3.79,2,3,9,0,0,0
63,21,4973702.12,50.13,63.42,3,4,7,0,1,1
53,5,2098206.48,52.79,39.38,3,1,8,0,1,1
21,3,3429776.46,44.39,42.35,4,2,1,1,1,0
20,2,2998962.04,45.80,59.72,5,3,5,1,1,0
26,8,3956972.86,47.24,44.86,3,5,9,1,0,0
35,0,1400000.00,43.98,20.16,4,4,4,1,1,0
22,4,1400000.00,39.76,9.59,1,1,6,0,1,1
64,3,2302924.97,39.88,17.60,3,2,10,0,0,1
29,7,3404139.21,41.97,15.82,3,5,4,1,0,0
41,7,3158109.46,44.81,14.56,3,2,3,0,0,0
23,5,4324976.77,49.09,45.84,4,2,4,0,0,1
46,7,2248985.39,52.69,56.84,5,3,0,0,1,1
31,13,4815239.86,49.31,7.10,1,1,10,1,1,1
54,13,3251537.99,41.79,45.27,4,4,1,1,0,0
60,9,3057657.27,32.82,51.66,2,3,1,1,1,1
48,27,5441811.63,47.57,23.88,4,3,7,0,0,0
38,20,5371044.40,50.69,8.43,1,4,5,0,1,1
23,5,3276568.06,47.51,42.91,1,5,3,1,1,0
46,20,5882110.19,41.08,0.68,1,5,7,1,1,0
52,2,2372427.95,51.18,6.02,5,1,1,0,1,1
25,7,2158770.21,38.39,32.55,1,4,2,1,1,1
63,3,2890875.54,43.05,30.16,5,2,7,0,1,1
36,15,4407785.80,44.32,21.54,2,2,1,0,0,0
49,22,5487860.62,45.88,24.59,3,3,6,0,0,0
25,7,2938289.39,30.00,3.47,5,4,4,0,1,0
25,7,3018799.81,33.70,32.53,5,5,6,1,0,0
33,15,4127496.03,41.37,56.68,2,3,3,1,0,0
45,26,5415864.17,35.82,33.12,3,4,2,0,1,0
44,0,3599852.76,45.70,19.62,3,4,10,1,0,0
26,8,2168267.60,46.91,64.55,1,3,6,1,0,1
55,30,6037773.53,48.25,1.39,2,1,0,0,0,0
34,4,2719657.22,57.26,6.73,3,3,1,1,1,1
20,2,1431077.58,43.70,46.91,5,5,7,0,0,0
46,6,3723972.77,46.01,22.26,4,1,9,0,0,1
34,15,4643566.80,39.99,57.15,2,1,9,0,0,1
24,6,3222863.59,46.71,14.04,5,3,5,1,0,0
35,9,4428630.71,36.93,15.69,5,2,3,1,0,0
51,23,4594039.85,37.85,59.12,2,1,9,1,1,1
63,11,3964329.54,53.82,43.82,5,3,1,0,1,1
47,14,1400000.00,47.17,34.08,5,3,4,1,0,0
35,17,4100996.79,49.31,42.28,3,2,4,0,1,1
43,17,5896570.36,47.41,34.83,3,5,5,1,0,0
34,4,1400000.00,41.97,45.10,5,5,7,0,1,0
65,17,4808699.67,47.91,53.36,2,1,5,1,1,1
25,7,3173022.80,51.22,42.93,4,4,10,1,1,1
48,7,3414453.47,35.74,48.58,4,3,10,0,1,1
48,15,2970411.14,48.64,36.12,5,2,8,0,0,1
55,11,3422183.39,44.74,1.79,2,2,6,0,0,1
60,25,5847834.22,35.52,56.10,4,4,1,1,1,0
20,2,1400000.00,47.38,28.44,1,5,8,1,1,1
19,1,1479677.29,40.37,48.49,2,5,8,0,0,1
30,11,2578630.61,41.95,59.82,2,2,3,1,0,1
21,3,1543825.59,33.13,30.23,3,4,4,1,1,0
37,18,4611476.27,42.20,23.59,3,3,9,1,0,0
55,22,5594908.39,39.82,60.94,4,5,5,0,1,0
61,22,5673426.26,40.93,46.47,5,5,0,1,0,0
26,8,1773920.49,41.82,13.27,3,4,2,1,0,0
50,17,4802018.79,48.72,62.93,4,5,1,1,0,0
62,5,4418031.25,39.07,15.84,5,5,3,1,0,0
42,12,2579096.10,34.26,54.17,4,2,0,0,0,0
28,10,4946406.68,38.40,5.98,5,4,10,0,1,0
64,4,4294542.68,44.26,14.03,4,4,6,0,1,1
37,13,3891055.32,58.37,56.76,3,2,4,0,1,1
20,2,1400277.36,50.64,20.52,1,3,1,0,1,1
31,13,3994845.66,44.47,56.65,5,4,0,1,1,0
46,13,5128152.06,53.03,27.14,2,1,6,0,1,1
34,2,1400000.00,49.44,45.21,3,3,10,1,1,1
45,26,6233128.88,30.26,57.58,2,5,6,0,1,0
32,11,3700809.92,54.26,43.22,2,5,7,1,1,0
56,12,4122263.67,50.72,33.06,4,4,3,0,1,1
46,26,6830294.41,46.75,60.29,4,3,8,1,0,0
52,12,2369727.57,36.80,9.36,1,5,1,0,0,0
38,4,3381289.47,49.09,16.07,5,1,1,1,0,0
19,1,3265866.04,47.39,20.84,3,4,4,1,0,0
60,8,3442324.52,39.10,57.94,3,5,6,0,1,1
56,16,3803595.72,46.85,49.26,2,2,10,0,1,1
31,13,4448037.73,36.42,25.44,3,1,3,0,0,0
39,2,1942906.44,37.99,58.72,2,5,9,1,0,1
44,2,2786391.20,51.72,46.86,3,1,2,1,1,1
35,6,1400000.00,39.32,48.00,2,3,7,0,0,1
47,24,7409962.74,39.45,19.19,5,4,2,0,0,0
63,17,6013135.32,45.23,44.19,1,4,10,0,0,1
52,23,6813850.56,30.83,21.37,5,3,4,1,0,0
43,25,4578843.43,40.62,14.55,4,2,9,0,1,0
27,9,2390812.17,47.12,55.57,1,3,9,1,1,1
36,6,4663504.99,36.08,63.45,5,3,10,1,0,0
34,16,3534214.43,48.12,59.43,5,1,2,1,0,0
49,26,6788731.51,45.78,28.25,4,2,8,0,1,0
54,28,8437698.13,30.00,18.81,4,2,7,0,1,0
32,1,2078986.89,39.35,12.34,2,2,5,0,0,1
54,12,3905749.10,40.74,49.53,3,1,0,0,1,1
54,18,2232181.72,52.88,6.10,1,3,1,1,1,1
56,14,4975483.87,34.54,30.87,2,5,7,0,0,0
37,19,4090600.15,47.25,49.57,3,4,5,1,0,0
26,8,5127046.17,44.83,52.44,3,4,10,0,0,0
63,28,4822263.93,43.16,32.03,1,3,8,0,0,1
63,10,3660551.53,42.94,51.99,1,4,0,1,1,1
59,4,1487597.21,40.55,23.38,5,4,9,0,0,0
48,12,2441103.24,42.80,25.37,3,3,2,1,0,0
50,24,2463496.42,42.76,13.36,4,1,0,0,1,0
56,19,4398175.79,51.99,28.57,4,2,10,0,0,1
38,15,3462797.40,44.46,47.79,1,4,1,1,1,1
42,5,2821762.60,30.25,52.44,5,2,5,0,1,1
33,15,2235126.15,42.76,19.86,4,2,1,0,0,0
36,5,3038785.75,30.00,4.44,2,1,0,0,1,1
39,21,4629086.57,45.80,14.17,4,1,0,1,0,0
53,16,5312570.03,47.31,5.20,5,3,0,1,0,0
61,15,5556404.85,46.58,31.91,4,3,10,0,1,1
42,0,3193606.63,42.28,64.72,4,3,3,0,1,1
47,24,5063462.25,38.89,58.03,3,1,2,0,1,0
63,3,2660769.68,54.00,9.89,2,5,7,0,1,1
57,12,4722697.36,42.03,26.87,1,5,2,0,1,1
64,22,5051391.53,40.48,56.15,2,3,7,1,1,1
62,19,3168296.98,34.88,43.20,5,1,9,1,1,1
61,10,1730124.99,43.85,64.35,3,5,4,0,1,1
36,18,3905111.48,42.11,52.46,5,5,3,1,0,0
25,7,4726203.23,43.11,56.12,1,5,4,0,1,1
23,5,3659266.89,44.39,64.83,2,4,6,0,0,1
29,11,3733178.63,41.79,1.44,2,4,4,0,1,0
22,4,3498358.59,49.65,27.91,1,1,0,0,0,1
42,2,1400000.00,50.13,61.12,2,3,9,0,0,1
45,8,3973946.87,38.13,7.30,1,2,9,0,0,1
27,0,2236500.12,45.49,30.80,3,3,6,1,1,1
32,3,1600404.40,40.56,21.50,5,5,1,0,0,0
33,8,1400000.00,40.92,6.09,4,3,1,0,0,0
47,9,4651110.11,44.57,25.93,3,3,9,1,0,0
36,18,4294426.29,45.31,46.39,5,3,5,1,0,1
64,0,1400000.00,40.15,8.96,3,1,6,0,1,0
23,5,2323904.01,42.89,44.24,1,3,4,0,1,1
23,5,2408903.74,43.76,7.85,4,2,5,1,1,0
48,16,3372832.06,39.28,52.31,2,4,0,1,0,0
50,0,2167804.60,43.15,5.91,1,2,7,0,1,1
25,7,3659156.84,54.70,3.05,1,1,1,0,1,1
54,7,1881590.27,45.20,25.87,4,1,1,1,1,1
48,23,5122282.63,39.40,50.41,2,4,10,0,0,0
28,1,1682682.76,48.67,30.12,4,2,2,1,0,0
61,19,4676434.54,43.33,56.52,5,3,0,0,0,1
65,16,5189180.93,38.13,26.95,4,1,4,0,1,1
32,5,1893446.28,30.56,45.65,5,1,10,0,0,1
57,20,3786745.10,38.94,7.17,5,3,1,1,0,0
39,12,3227752.15,40.36,13.77,5,1,4,1,0,0
28,3,1400000.00,46.38,4.85,3,2,0,1,1,1
27,2,1795666.12,37.28,9.03,4,2,7,0,1,1
56,23,6314577.20,42.53,34.00,2,1,2,0,1,1
40,5,2381882.01,50.36,31.05,5,5,1,1,0,0
51,10,2886714.98,37.27,40.45,1,2,6,0,0,1
60,4,1400000.00,43.32,64.99,2,4,6,1,0,1
19,1,2269123.62,41.21,15.00,4,4,9,0,1,0
24,6,1400000.00,33.03,36.30,2,4,6,1,0,0
21,3,1516957.30,44.14,61.38,4,3,8,0,0,1
63,11,3816092.48,47.08,50.96,5,1,0,1,0,1
52,15,5670936.96,48.43,35.23,3,2,10,0,1,1
45,22,5600323.10,46.53,44.32,2,5,2,0,1,0
35,17,3160471.76,47.56,36.37,3,3,6,0,1,1
43,22,4253273.93,42.98,4.99,1,5,8,1,0,0
50,22,6213571.67,34.77,20.80,2,2,8,1,0,0
51,22,6463539.52,37.23,53.01,3,1,6,1,1,1
21,3,1400000.00,40.56,40.55,3,2,4,1,1,0
59,29,7064975.91,30.31,37.85,5,5,3,1,0,0
56,16,4783159.49,31.58,24.00,4,2,0,0,0,0
37,19,3696437.77,37.22,31.65,4,3,10,1,0,0
40,15,4166531.32,47.32,1.78,2,2,3,0,0,0
49,3,2388563.21,35.49,4.94,1,3,7,0,1,1
43,3,1854253.20,43.93,21.77,3,4,0,0,1,1
23,1,1852591.23,39.59,52.78,2,4,10,1,1,1
57,25,5135261.72,33.13,14.60,2,3,3,1,0,0
41,23,4400496.52,30.00,63.43,5,2,0,0,1,0
53,19,3853149.40,47.42,28.00,3,2,0,0,0,0
19,1,1596633.31,43.19,6.38,3,1,6,0,1,0
51,23,5582688.55,43.04,12.48,2,3,2,1,0,0
53,8,1976361.19,41.76,37.71,1,5,0,1,0,0
27,9,3661563.30,38.17,8.03,2,2,3,0,0,0
51,4,3357157.15,39.59,32.92,4,2,9,1,1,1
30,12,5301104.87,53.48,25.45,3,5,4,0,0,0
42,13,3706075.88,37.11,59.52,1,2,7,0,0,1
64,7,3766957.98,43.49,36.16,1,1,10,0,0,1
52,7,2249014.06,48.56,54.89,1,2,0,1,0,0
28,9,3461847.87,55.51,16.71,1,1,3,1,1,1
36,18,2546044.16,53.78,62.87,1,3,0,1,0,1
40,8,4505681.01,49.08,41.70,4,3,1,1,0,0
37,11,1893880.98,41.63,8.78,2,2,7,1,0,1
65,16,3870548.15,46.33,5.05,4,4,2,1,1,0
57,3,2154933.67,54.76,47.62,5,3,3,1,0,1
42,23,6398181.34,35.94,19.25,3,3,8,1,0,0
42,23,5499312.84,45.94,20.10,5,3,10,0,0,0
34,16,5343992.91,46.61,6.22,1,2,6,1,0,0
36,1,1400000.00,42.06,63.48,2,2,8,1,0,0
33,15,3582056.26,42.72,10.66,3,1,4,0,0,0
37,13,3854044.41,41.41,32.17,2,5,9,1,0,0
22,4,1923708.69,48.30,55.34,4,2,2,0,0,1
27,9,3586273.94,52.65,50.34,4,4,1,1,0,0
40,17,4559165.18,48.77,17.22,4,3,3,0,1,0
58,0,1400000.00,39.16,47.42,4,4,2,0,0,0
60,11,3181452.05,57.52,61.92,3,5,8,1,1,1
55,3,1400000.00,36.86,3.07,2,2,3,0,0,1
31,13,3887584.71,42.71,32.72,1,5,0,0,1,0
37,19,4268626.27,41.15,45.97,1,2,2,0,1,1
20,2,2417471.48,36.85,48.97,3,3,7,1,1,1
41,12,1926313.50,39.27,1.22,1,1,1,0,1,1
34,6,3204930.96,45.43,40.86,4,3,6,1,1,1
35,13,4583359.29,49.72,1.43,1,2,4,1,0,1
50,14,1892616.24,47.13,14.84,2,5,3,0,1,1
55,23,4930812.45,31.70,0.77,3,1,1,0,1,0
49,27,6063027.82,42.21,8.36,4,4,7,1,0,0
42,13,2074244.05,40.82,60.24,3,3,0,1,0,0
47,0,1400000.00,39.81,4.00,4,4,2,0,0,0
63,24,4691093.14,38.82,4.11,2,5,8,0,1,0
21,3,2028982.63,46.46,29.52,4,1,4,1,0,0
44,26,7702278.62,48.13,6.68,4,1,3,0,0,0
38,20,3421466.20,54.01,54.96,1,1,0,1,0,0
29,11,5057315.20,30.66,8.50,2,4,1,1,1,0
43,21,6282510.23,33.60,32.10,3,1,2,0,1,0
43,25,6136807.86,49.98,17.52,3,4,5,1,1,0
54,28,6871701.95,39.36,54.34,1,2,5,0,0,1
58,19,4514940.78,44.82,47.21,4,1,8,0,1,1
20,2,2611090.83,43.20,59.64,2,2,7,0,0,1
57,18,4230151.22,53.96,53.65,1,1,2,1,1,1
25,7,5947999.96,41.68,22.21,3,1,3,1,1,0
29,11,1400000.00,44.09,43.12,3,1,3,0,0,1
64,11,1767571.26,44.24,47.34,4,2,1,0,0,1
24,6,3207027.90,42.43,14.48,4,3,3,1,0,0
58,10,3787361.34,42.53,38.78,2,4,9,0,1,1
42,17,3847740.26,47.95,54.97,5,2,1,1,1,0
46,21,6866614.58,39.00,45.46,2,1,0,1,0,0
46,12,2234270.43,44.90,62.86,5,2,9,1,0,1
52,14,5772496.01,46.76,15.04,5,3,8,0,0,0
33,8,2071210.19,41.07,42.47,5,3,0,0,0,0
52,18,5318457.24,44.63,60.64,4,4,2,0,0,0
40,22,5542140.75,47.40,53.36,2,5,7,1,0,0
43,19,4839543.46,43.01,3.45,2,5,9,1,1,0
22,4,3047246.11,38.64,19.31,5,2,3,1,1,0
27,9,2917125.96,51.62,23.08,1,4,1,0,0,1
55,21,5504422.65,39.04,28.32,2,2,3,1,1,1
59,23,5362185.22,52.15,5.70,3,2,1,0,1,0
65,17,3044193.01,40.36,12.35,5,3,0,1,0,0
33,15,2004297.38,47.13,45.47,2,4,9,0,1,1
21,3,1839963.93,43.94,32.71,5,3,1,0,1,1
30,12,2391755.19,31.00,34.37,1,1,5,1,0,1
65,5,3312303.10,52.79,13.28,2,1,10,1,1,1
57,15,5088315.83,53.42,22.40,5,4,0,1,0,0
23,5,1862735.21,52.17,20.24,2,5,8,0,0,1
58,12,3521576.37,47.05,47.76,5,2,9,1,1,1
20,2,1400000.00,49.34,29.98,5,2,7,1,0,0
46,5,2984979.69,49.59,14.37,3,4,3,0,1,1
49,23,5255377.21,42.61,59.82,4,1,1,0,0,0
50,28,7103077.53,46.22,30.47,5,5,7,0,0,0
63,26,5307594.98,34.38,63.64,4,5,8,0,0,0
26,8,2607383.89,41.50,55.23,5,1,10,0,1,1
60,19,4715913.84,40.08,60.44,3,2,6,1,0,1
57,20,4419806.29,47.54,19.48,2,4,8,0,0,1
48,11,3153136.75,32.17,6.49,5,2,5,0,1,1
43,14,3456462.61,41.56,47.48,1,4,5,1,0,1
37,19,5045455.14,35.53,18.76,4,4,6,0,0,0
38,5,2578670.48,37.51,33.09,4,4,8,0,0,0
54,29,8615967.81,56.28,12.02,4,2,0,1,1,0
37,0,1400000.00,41.46,12.38,4,4,9,0,1,1
39,12,2180027.81,51.44,46.06,5,2,1,0,0,0
27,9,4221949.04,46.74,63.35,4,5,7,1,1,0
35,12,3864152.74,47.63,52.02,5,1,1,1,1,1
26,8,2747124.41,46.60,40.06,2,2,4,0,0,1
60,20,5942278.53,57.09,63.76,3,4,9,0,0,1
59,2,3076860.75,44.52,23.23,2,2,5,0,0,1
46,4,1715505.68,57.02,37.34,5,2,4,0,1,1
44,26,6183694.81,43.06,56.99,1,1,8,0,0,1
44,1,2322040.00,41.89,64.37,5,3,2,1,1,1
44,24,4872881.41,40.40,46.21,1,1,9,0,0,1
21,1,2555315.28,42.74,14.74,2,3,0,0,1,1
28,3,3467202.18,46.55,42.84,2,1,0,0,1,1
57,30,6844298.14,42.39,43.69,2,1,8,0,0,1
42,3,1400000.00,48.57,53.41,2,2,8,1,0,1
27,8,4378725.03,55.69,49.75,2,1,7,1,0,1
51,24,5640416.88,37.49,24.95,5,5,8,0,1,0
44,26,6268141.96,44.27,27.56,4,2,0,1,1,0
24,6,1400000.00,42.31,5.13,2,4,8,1,1,0
36,5,3352905.59,39.79,2.86,2,4,0,0,1,0
61,11,3630888.68,52.43,26.37,1,2,5,1,1,1
39,2,2334145.12,40.96,8.46,2,4,7,1,1,1
48,16,2997262.04,42.82,25.19,5,4,2,0,0,0
27,9,1400000.00,31.17,36.38,2,3,5,0,1,0
47,25,6520356.26,41.19,23.68,4,1,1,1,1,0
33,14,3404202.34,47.03,26.91,3,1,8,0,0,1
22,4,2390668.68,54.99,2.25,4,1,3,0,1,1
52,24,3124639.85,41.74,45.86,5,5,0,1,1,0
41,16,4146677.22,44.30,13.24,2,2,3,0,0,0
48,1,1400000.00,53.39,17.77,4,4,9,0,1,1
24,6,2678212.89,44.03,15.91,4,3,6,1,1,0
40,14,4715776.60,46.68,20.06,5,3,7,0,0,0
51,15,4076768.31,48.66,29.06,4,5,8,0,1,0
35,17,5093112.29,40.69,10.95,3,1,9,0,1,1
57,5,2391857.55,47.36,34.90,4,4,0,1,1,1
34,10,4868463.34,56.64,8.05,2,2,0,0,0,1
45,25,4995250.90,32.41,58.47,2,5,8,1,1,0
51,22,5178923.63,41.01,30.75,4,1,9,0,0,0
44,2,2033291.21,41.66,2.86,1,5,1,0,0,0
20,2,2705492.17,43.09,2.53,4,1,10,0,0,0
31,13,3460062.06,32.08,41.56,1,3,1,1,0,0
58,26,4591724.96,47.03,15.02,5,3,5,0,1,0
41,23,5348243.54,47.25,21.85,5,2,8,1,1,0
48,4,3088858.11,37.03,27.03,1,5,6,1,0,0
56,1,2535524.08,43.88,8.45,4,1,10,1,0,1
22,4,2669124.64,41.34,4.60,3,2,7,0,1,1
51,12,4038256.06,32.09,18.73,1,1,10,0,0,1
26,8,5831119.94,48.46,60.24,5,3,8,0,1,1
45,27,7314600.43,38.12,54.48,2,2,10,0,1,1
56,25,6162041.69,48.49,41.01,1,2,9,0,0,1
26,8,3144196.46,40.90,53.57,2,1,7,1,0,1
37,3,1706579.54,40.82,53.36,4,2,0,1,1,1
57,2,1400000.00,30.00,13.10,1,4,7,1,1,1
42,8,1809346.46,49.94,30.02,4,2,6,0,1,1
23,5,1400000.00,40.33,32.72,1,1,5,1,1,1
64,3,1400000.00,36.81,59.70,4,1,3,1,0,1
62,17,3970324.75,46.22,42.83,3,3,9,1,0,1
37,0,1400000.00,38.76,31.60,5,1,0,0,0,0
61,18,2919727.24,30.38,20.23,5,1,4,1,1,0
63,19,3388293.57,43.17,42.35,2,1,10,1,1,1
62,1,3180211.83,36.03,12.13,2,3,2,0,0,1
62,0,2540913.90,47.95,19.88,3,3,9,1,1,1
30,3,3005872.59,60.52,63.69,2,4,8,0,1,1
60,29,6593195.76,43.40,3.98,4,4,1,0,1,0
40,6,2558125.02,35.46,38.72,2,4,5,0,0,1
54,12,2292919.39,39.02,56.96,1,1,10,0,1,1
30,12,2637172.47,36.83,47.68,2,2,10,1,0,1
42,23,4927945.59,45.37,21.52,2,1,1,0,0,0
54,14,2816900.49,59.57,61.00,4,5,1,1,1,0
33,15,4015821.80,30.00,12.10,4,5,1,1,1,0
19,1,2008214.93,35.58,54.23,3,1,6,1,0,1
33,15,2302239.68,48.24,3.04,3,4,2,0,0,0
43,0,2952874.31,36.59,21.36,5,3,0,1,1,0
40,22,3801611.17,48.44,4.28,1,1,1,0,0,1
61,1,1941113.58,45.99,50.60,5,2,5,0,0,1
60,25,3701209.90,54.96,63.33,2,3,4,0,1,1
56,20,6169996.53,36.16,31.46,3,5,7,1,1,1
62,4,3627159.00,38.63,4.57,4,5,1,0,0,0
38,9,4282930.82,43.19,16.09,3,2,7,1,1,0
55,16,3607452.04,52.94,20.75,1,3,7,0,0,1
21,3,2736851.95,49.87,21.61,5,4,0,1,1,0
21,3,2009045.88,30.00,63.05,2,5,2,0,0,0
64,7,2884984.38,37.59,53.51,4,4,3,0,1,0
60,13,3572877.75,41.13,23.55,1,2,1,1,1,1
27,6,1400000.00,54.70,19.72,4,5,5,0,1,0
37,13,3298142.93,30.76,25.97,3,2,9,1,0,0
34,16,4653425.25,55.32,57.77,2,1,3,1,1,1
33,15,5258093.45,43.16,44.58,3,4,8,0,1,1
61,0,1417005.54,34.91,61.50,3,1,9,1,0,1
63,20,4954610.11,53.08,17.30,4,3,5,1,0,0
44,26,5985409.31,51.35,23.57,2,4,4,1,1,0
35,12,1647856.31,40.99,6.65,5,4,2,0,1,0
42,1,2089985.85,54.59,39.13,1,5,4,0,1,1
63,3,2392565.62,49.92,18.62,5,4,4,1,0,0
25,7,1400000.00,52.95,45.54,4,1,10,0,1,1
64,26,6619200.30,45.60,53.51,4,2,7,0,0,1
62,6,5843982.35,33.31,35.04,2,1,4,1,1,1
61,20,4802138.04,35.97,3.32,3,5,10,0,0,0
24,6,1731656.97,38.65,37.28,1,5,1,1,0,0
58,22,5064066.25,32.29,47.38,4,2,0,1,1,0
41,6,3164436.98,40.88,58.14,5,1,7,0,1,1
21,3,2991234.31,35.97,16.99,5,3,9,1,1,0
27,3,2442013.91,45.23,16.89,1,1,0,0,1,1
38,16,2745398.26,58.67,29.00,4,2,6,1,1,1
