comentario;sentimiento;base
No te molestes - ve a la tienda.;0;amazon
Publiqué comentarios más detallados debajo del teléfono gris o negro, ¡pero tengo el Fire Red y es un gran color!;1;amazon
No tuve ningún problema con este artículo y lo pediría de nuevo si fuera necesario.;1;amazon
Usted obtiene lo que paga, supongo.;0;amazon
No solo el software hizo un gran trabajo, sino que también pude hacer mis propios tonos de llamada de mis CD existentes sin conexión a Internet.;1;amazon
Estoy sorprendido de que este sea un cargador de coche de buena calidad y no hay muchas críticas al respecto.;1;amazon
Estos son fabulosos!;1;amazon
Sin embargo, los auriculares BT actualmente no son buenos para los juegos en tiempo real como los juegos de disparos en primera persona ya que el retraso del audio me confunde.;0;amazon
Utilicé bitpim (un programa gratuito que puede encontrar en Internet) para transferir datos al teléfono. El precio del cable fue excelente.;1;amazon
Decepcionante accesorio de un buen fabricante.;0;amazon
Realizado de forma horrible: sonido entrecortado, débil y eco grave para quienes se encuentran en el otro extremo de la llamada.;0;amazon
Muy resistente al viento.;1;amazon
Obviamente tienen un servicio al cliente terrible, así que obtienes lo que pagas.;0;amazon
No duran para siempre, pero su reemplazo no es demasiado costoso. Es fácil de operar y el sonido es mucho mejor que otros que he probado.;1;amazon
Me puse en contacto con la empresa y me dijeron que, aunque la unidad aún estaba en garantía, si no podía presentar el recibo no tenía suerte.;0;amazon
¡Linksys debería tener alguna forma de cambiar un teléfono defectuoso por una unidad de renovación o algo así!;0;amazon
El teléfono es robusto como todos los teléfonos de la barra de Nokia.;1;amazon
Gran telefono;1;amazon
Cuando coloqué mi treo en el estuche, no solo no estaba ajustado, sino que había MUCHO espacio adicional en los costados.;0;amazon
Estoy complacido.;1;amazon
La batería es terrible.;0;amazon
Encontré el producto fácil de configurar y usar.;1;amazon
El auricular de esto es demasiado grande o demasiado pesado ... sigue cayendo de mi oído.;0;amazon
Mierda completa. La calidad del sonido es TERRIBLE.;0;amazon
El cargador llegó dentro del plazo prometido, pero no funcionó.;0;amazon
No se necesita un auricular, es pequeño y el sonido es genial.;1;amazon
Finalmente, después de tres o cuatro veces, el resorte del pestillo se rompió y ya no pude usarlo más en la visera.;0;amazon
La parte de manos libres funciona bien, pero luego el auto intenta descargar la libreta de direcciones y el Treo se reinicia. En general, sigo calificando a este dispositivo como alto.;1;amazon
Hable acerca de servicio al cliente sin uso.;0;amazon
"Se sentía demasiado ligero y ""diminuto"".";0;amazon
Esto no se ajusta al Palm Tungsten E2 y se rompió la primera vez que intenté conectarlo.;0;amazon
Estoy feliz por esta compra, buena calidad y bajo precio.;1;amazon
Me encanta la apariencia de los teléfonos móviles Samsung.;1;amazon
Está bien diseñado y es muy fuerte. El azul es un color muy agradable.;1;amazon
Hace todo lo que debería y más.;1;amazon
No podría recomendar estos más.;0;amazon
Buen Sonido.;1;amazon
Se ve bien en la foto, pero este caso fue una gran decepción!;0;amazon
Mucho menos que la mandíbula con la que iba a reemplazarlo.;1;amazon
La instalación fue muy fácil.;1;amazon
Es extremadamente lento y tarda una eternidad en hacer algo con él.;0;amazon
"Un estudio obligatorio para cualquier persona interesada en los ""peores pecados"" del diseño industrial.";0;amazon
Lo primero que sucedió fue que el seguimiento estaba desactivado.;0;amazon
Está bien hecho, es fácil de acceder al teléfono y tiene un clip de cinturón práctico y desmontable.;1;amazon
Luego tuve que seguir emparejándolo periódicamente ya que de alguna manera seguía cayendo.;0;amazon
No se pueden cargar tonos de llamada de un tercero.;0;amazon
Bluetooth no funciona, el teléfono se bloquea, las pantallas simplemente parpadean y ahora solo hace llamadas al azar mientras estoy en mi bolsillo bloqueado.;0;amazon
Realmente horrible.;0;amazon
Funciona bien en mi teléfono celular Motorola 325, y mucho mejor que la batería gastada.;1;amazon
El volumen del timbre es REAL realmente bueno (tiene opciones con qué volumen).;1;amazon
Y ninguno de los tonos es aceptable.;0;amazon
el balance de color de la cámara es horrible.;0;amazon
Claramente, este producto no está listo para el horario de máxima audiencia, no me importa lo bien que se vea, si no puedes decir que una llamada está llegando, no vale la pena.;0;amazon
Me encantan los tonos de llamada porque son muy optimistas!;1;amazon
Abundan las falsificaciones chinas !.;0;amazon
Fácil de emparejar con mi celular Samsung.;1;amazon
Las instrucciones no explicaban que se pudiera usar un conector de micrófono.;0;amazon
Yo recomendaría no comprar este artículo nunca funcionó muy bien.;0;amazon
¡Qué pena que tengas que pagar hasta $$$ por mes por el servicio!;0;amazon
Funciona bien.;1;amazon
El cable USB nokia CA-42 no funcionó con mi teléfono.;0;amazon
Sonido claro y nítido.;1;amazon
Tengo que usar los auriculares más pequeños provistos, pero se mantiene bastante bien.;1;amazon
La queja más grande que tengo es que la batería se agota súper rápido.;0;amazon
El diseño podría ser ergonómico en teoría, pero no podría soportar tener esto en mi oído.;0;amazon
NO compre si quiere usar la funda.;0;amazon
El teléfono también puede tomar excelentes fotos e incluso videos.;1;amazon
No te hace ver bien.;0;amazon
Debido a que ambos oídos están ocupados, el fondo no distrae en absoluto.;1;amazon
Ajuste cómodo: necesita que sus auriculares estén cómodos durante al menos una hora a la vez, si no durante todo el día.;1;amazon
Además, el teléfono no parece aceptar nada, excepto los mp3 CBR, preferiblemente grabados por Windows Media Player.;0;amazon
No se puede superar el precio de estos.;1;amazon
* Viene con una luz fuerte que puedes usar para iluminar las tomas de tu cámara e incluso emitir señales SOS (¡en serio!;1;amazon
Ligero y funciona bien.;1;amazon
Así que ten cuidado.;0;amazon
Me encanta este cable: me permite conectar cualquier dispositivo mini-USB a mi PC.;1;amazon
Así que cualquier persona cerca de ti escuchará parte de tu conversación.;0;amazon
Esto es genial porque la mayoría de los casos se abren allí permitiendo que la pantalla se raye.;1;amazon
Compré este teléfono como reemplazo de mi StarTac y lo he lamentado desde entonces.;0;amazon
Parece que en realidad supera a la batería original de China que venía con mi V325i.;1;amazon
No se puede almacenar nada excepto números de teléfono a SIM.;0;amazon
Dura menos de 30 minutos, si realmente trato de usar el teléfono. Mi esposa tiene el mismo teléfono con el mismo problema.;0;amazon
Mala calidad.;0;amazon
"Jabra geles para la oreja ""R"" los mejores !.";1;amazon
No vale la pena.;0;amazon
El teléfono se estrelló por completo y ahora tengo que reemplazarlo.;0;amazon
Dejó de funcionar después de haberlo usado durante aproximadamente 18 meses, así que compré otro porque es el mejor auricular que he tenido.;1;amazon
Desafortunadamente, no recargará mi iPhone 4s, a pesar de conectarlo desde múltiples fuentes de alimentación (iMac, batería externa, toma de pared, etc.).;0;amazon
Fue un gran teléfono.;1;amazon
Si simplemente quiere un pequeño teléfono plegable, mire en otro lado, ya que las campanas y silbatos adicionales son mediocres.;0;amazon
Buen valor, funciona bien: alimentación a través de USB, automóvil o toma de pared.;1;amazon
Mi teléfono no se desliza alrededor de mi auto ahora y el agarre evita que mi teléfono se deslice de mi mano.;1;amazon
¡Este es simplemente el MEJOR auricular bluetooth para calidad de sonido!;1;amazon
¡Piénsalo cuando planeas tener este! ¡Este es el último teléfono MOTO para mí!;0;amazon
"En el lapso de una hora, dos personas exclamaron: ""¿Quién es el nuevo teléfono en la TV?";1;amazon
Siempre he usado auriculares con cable y la libertad de la conexión inalámbrica es muy útil.;1;amazon
Este caso ha pasado la marca de un año y, si bien muestra signos de desgaste, es 100% funcional.;1;amazon
"Aparte de eso, el cuero es bonito y suave	 el ajuste es muy apretado	 El corte para la cara es una buena forma.";1;amazon
Tiene todo lo que necesito y no podría pedir más.;1;amazon
Después de recibir y usar el producto por solo 2 días se rompió.;0;amazon
Este producto es genial ... hace que el trabajo sea mucho más fácil, puedo ir a la copiadora mientras estoy esperando algo.;1;amazon
Ninguno de los tres tamaños que enviaron con el auricular quedaría en mis oídos.;0;amazon
T-Mobile tiene el mejor servicio al cliente en cualquier lugar.;1;amazon
Llegó rápidamente y mucho menos costoso que otros vendidos.;1;amazon
Hemos intentado 2 unidades y ambas fallaron en 2 meses .. Pros;0;amazon
Proporciona una buena protección y se ve elegante, también.;1;amazon
Krussel siempre bien.;1;amazon
El sitio web tracfone es fácil de usar y hace que sea fácil de activar, etc.;1;amazon
El diseño es muy bueno.;1;amazon
I gran recepción todo el tiempo.;1;amazon
Recomendaría altamente este producto.;1;amazon
No se pudo usar la unidad con lentes de sol, ¡no es bueno en Texas!;0;amazon
No funciona la mayor parte del tiempo con mi Nokia 5320.;0;amazon
Comprado principalmente para el cargador, que se rompió poco después de la compra.;0;amazon
Si te gusta un zumbido fuerte para anular todas tus conversaciones, ¡este teléfono es para ti!;0;amazon
Fantástica compra y obtendrás otra vez por lo que sea mi próximo teléfono;1;amazon
Manténgase alejado de esta tienda, tenga cuidado.;0;amazon
Este altavoz de manos libres para teléfono BlueAnt Supertooth es IMPRESIONANTE.;1;amazon
No encaja.;0;amazon
.... El artículo llegó rápidamente y funciona muy bien con mi teléfono slider Metro SCH Samsung-r450 de Metro PCS y Sony Premium Sound en tapones para los oídos.;1;amazon
Es liviano, tiene una gran capacidad de batería y es muy cómodo de usar durante períodos de tiempo un tanto prolongados.;1;amazon
decepcionante.;0;amazon
Blue Ant es fácil de usar.;1;amazon
Barato, pero bueno, funcionó ... Me sorprendió gratamente dado el bajo costo de este artículo.;1;amazon
La cámara del teléfono se puede usar como recogedor cuando está en interiores ... Prefiero usar un desechable en lugar de esto.;0;amazon
Luego, unos días después, una bocanada de humo salió del teléfono mientras estaba en uso.;0;amazon
Es muy conveniente y fácil de usar: hace el trabajo y hace que el viaje en auto sea mucho más suave.;1;amazon
El nano lo dijo. Mi hijo estaba decepcionado.;0;amazon
La calidad del sonido es excelente también.;1;amazon
Es el mejor auricular que he usado.;1;amazon
No lo recomendaría.;0;amazon
Han existido durante años y tienen la más alta calidad de protector de pantalla antirreflejos que he encontrado hasta la fecha.;1;amazon
Justo lo que quería.;1;amazon
Este modelo en particular no funcionaría con mi teléfono inteligente Motorola Q.;0;amazon
no funcionará bien o al menos para mí.;0;amazon
"además se siente & amp	 Parece que el teléfono es todo plástico liviano y barato.";0;amazon
"Pero ahora que está ""fuera de garantía"", vuelven a ocurrir los mismos problemas. Línea de fondo ... ponga su dinero en otro lugar ... Cingular no lo admitirá.";0;amazon
Realmente quería que el Plantronics 510 fuera el correcto, pero tiene demasiados problemas para mí. Lo bueno;0;amazon
Buen producto.;1;amazon
Nítido y claro.;1;amazon
Después de la primera carga siguió muriendo después de 12 minutos.;0;amazon
Plástico MUY barato, cruje como un viejo suelo de madera.;0;amazon
Recibo una recepción absolutamente horrible en mi apartamento, donde con otros teléfonos no he tenido este problema.;0;amazon
La recepción ha sido en general buena.;1;amazon
Excelente sonido, duración de la batería y discreto para arrancar !.;1;amazon
¡Gran bluetooth !.;1;amazon
Recomiendo encarecidamente este caso.;1;amazon
VALE LA PENA.;1;amazon
Esta es una gran cosa.;1;amazon
Después de que mi teléfono tenía alrededor de un año, se estaba rompiendo lentamente a pesar de mucho cuidado por mi parte.;0;amazon
Lamento haber hecho esta compra.;0;amazon
Los compré con la esperanza de poder ajustar mejor mis auriculares Bluetooth, pero estas cosas me hacían imposible de usar.;0;amazon
Treo y T-Mobile se negaron a reemplazarlo nuevamente y me obligaron a comprar otro teléfono sin ningún tipo de descuento por actualización.;0;amazon
¡Fue horrible!.;0;amazon
No creo que lo sostuviera demasiado seguro en tu cinturón.;0;amazon
Esto permite la posibilidad de doble reserva para la misma fecha y hora después de la primera.;0;amazon
Trabajan unas 2 semanas y luego se rompen.;0;amazon
Es fácil de usar y me gusta.;1;amazon
Es una gran herramienta para el entretenimiento, la comunicación y la administración de datos. ¡Oh, asegúrese de usar ActiveSync 4.2 para obtener resultados óptimos de sincronización de datos!;1;amazon
No puedo usar este caso porque el olor es desagradable.;0;amazon
NO LO QUE QUERÍA.;0;amazon
Tengo 2 de estos casos y pediría otro.;1;amazon
Gran teléfono;1;amazon
Compré esta batería con un cupón de Amazon y estoy muy feliz con mi compra.;1;amazon
El acceso a internet estaba bien, es el caso raro que funcionó.;0;amazon
Perfecto para la PS3.;1;amazon
Plus de cinco estrellas, más.;1;amazon
Una ganga de buena calidad. Compré esto después de que compré un cheapy de Big Lots que sonaba horrible y la gente en el otro extremo no podía escucharme.;1;amazon
$ 50 por el desagüe.;0;amazon
Intenté hablar muy fuerte, pero gritar en el teléfono envejece y aún me dijeron que no era genial.;0;amazon
Bien, funciona bien.;1;amazon
Por el precio esto fue una gran oferta.;1;amazon
¡Gran precio, también!;1;amazon
Si hay viento, es completamente inútil.;0;amazon
Sí, es brillante en la parte frontal, ¡y me encanta!;1;amazon
No funciona.;0;amazon
Al principio pensé que estaba haciendo un buen negocio a $ 7.44, hasta que lo conecté a mi teléfono (V3c Razr).;0;amazon
La recepción a través de este auricular es excelente.;1;amazon
2 pulgares arriba a este vendedor;1;amazon
Tengo un teléfono Verizon LG y funcionan bien juntos, buena recepción y alcance que supera los 20 pies de la línea de visión.;1;amazon
Descripción inadecuada .... Tuve que devolverla.;0;amazon
# 1 Funciona - # 2 Es cómodo.;1;amazon
La vida de carga de la batería es bastante larga.;1;amazon
Los Jabra EarGels se adaptan muy bien a mis oídos.;1;amazon
La batería no tiene vida.;0;amazon
Lo comprobé en todas partes y no hay ninguna característica que sea realmente decepcionante.;0;amazon
El producto es exactamente como se describe.;1;amazon
Obtiene una señal cuando otros teléfonos de Verizon no lo harán.;1;amazon
No hace el trabajo;0;amazon
Yo lo recomendaría.;1;amazon
Planea ordenar de ellos una y otra vez.;1;amazon
"Dicho esto, para un teléfono, la cámara es muy agradable	 muchos efectos geniales para jugar, y el video es decente también.";1;amazon
Estoy muy satisfecho con este teléfono celular desde el primer día.;1;amazon
Siguen mejorando y mejorando (esta es mi tercera y también he tenido numerosas Palms).;1;amazon
Incómodo de usar y poco fiable.;0;amazon
El tiempo de envío también fue muy rápido!;1;amazon
No tan bueno como esperaba.;0;amazon
Buen caso !.;1;amazon
No funciona;0;amazon
Muy buen producto.;1;amazon
Desafortunadamente, no funcionó.;0;amazon
Los tres se rompieron dentro de los dos meses de uso.;0;amazon
no lo compre;0;amazon
Mi padre tiene el V265, y la batería se está muriendo.;0;amazon
Sin embargo, las almohadillas se desprenden fácilmente y después de solo una semana perdí una.;0;amazon
Las llamadas se caen, el teléfono se enciende y se apaga a voluntad, la pantalla se pone en negro y, lo peor de todo, deja de sonar de forma intermitente.;0;amazon
Horrible, horrible protector.;0;amazon
Tampoco me gusta este Nokia.;0;amazon
Llegar a la fila inferior es incómodo, y las teclas de envío y finalización no están donde espero que estén.;0;amazon
Compré este teléfono celular Nokia hace unas semanas y fue una pesadilla.;0;amazon
Tomaría mucho tiempo describir lo mala que ha sido mi experiencia de servicio al cliente con Amazon.;0;amazon
la única cosa MUY decepcionante fue que NO HABÍA ALTAVOZ !!!!;0;amazon
Terrible .. Mi coche no aceptará este cassette.;0;amazon
El producto es inútil, ya que no tiene suficiente corriente de carga para cargar los 2 teléfonos celulares con los que planeaba usarlo.;0;amazon
No es lo que dice que es.;0;amazon
Manténgase alejado de la Q !.;0;amazon
Usado y sucio.;0;amazon
Servicio muy poco fiable de T-mobile!;0;amazon
No es lo suficientemente bueno para el precio.;0;amazon
Compré dos de ellos y ninguno cobrará.;0;amazon
Se ve muy bien.;1;amazon
Esta es una excelente herramienta, especialmente cuando se combina con la respuesta automática de su teléfono.;1;amazon
He leído las reseñas de otros aquí pero no he tenido ningún problema con eso.;1;amazon
Estos productos cubren el importante sensor de luz sobre la salida de la oreja.;0;amazon
Cómodo en mi mano.;1;amazon
Simplemente no funciona.;0;amazon
Fiabilidad pobre.;0;amazon
(¡Funciona!);1;amazon
Si tomo una foto, la batería deja caer una barra y comienza a sonar, avisándome que está muerta.;0;amazon
Producto terrible, y desperdicio de dinero!;0;amazon
La última vez comprando de ti.;0;amazon
Fue un desperdicio de mi dinero.;0;amazon
Hasta ahora ha funcionado como un encanto.;1;amazon
Solo lo he tenido durante unas semanas, pero hasta ahora, todo bien.;1;amazon
Pero, en cualquier caso, lo mejor es que puede descargar estas imágenes a su computadora portátil mediante IR, o incluso enviarlas desde su computadora portátil al teléfono.;1;amazon
Recomendaría este artículo.;1;amazon
"Ha sido mi auricular de elección durante años. Gran sonido	 buen volumen Buena cancelación de ruido.";1;amazon
Buen caso, se siente bien en tus manos.;1;amazon
El artículo recibido fue falsificado.;0;amazon
Realmente muy bien ... Hasta ahora, probablemente el mejor auricular BT que he tenido.;1;amazon
Funciona bien.;1;amazon
Recibí mis auriculares a tiempo y me alegré.;1;amazon
Me complació mucho ver que podía reemplazar mi funda giratoria de mi Blackberry.;1;amazon
Mi hermana también tiene uno y le encanta.;1;amazon
Buena calidad.;1;amazon
Esta es, con mucho, la peor compra que he hecho en Amazon.;0;amazon
Excelente auricular de doble uso.;1;amazon
¡Excelente!.;1;amazon
No funciona para escuchar música con el cingular 8125.;0;amazon
Parece completamente seguro, tanto sujetando mi cinturón como manteniendo el iPhone dentro.;1;amazon
La línea Bottowm ... otro truco barato y sin valor de Sprint.;0;amazon
Tener problemas con el volumen.;0;amazon
Lo único bueno es que cabe cómodamente en orejas pequeñas.;1;amazon
ADVERTENCIA - NO COMPRAR !!.;0;amazon
Estoy emparejando esto con mi iPhone, y no podría estar más feliz con él hasta ahora.;1;amazon
Cuando se abre, la conexión de la batería se interrumpe y el dispositivo se apaga.;0;amazon
No quería que el clip pasara por encima de mi oreja, causando incomodidad.;0;amazon
Los mejores auriculares nunca !!!.;1;amazon
No confíe en su sitio web y no espere ningún apoyo útil.;0;amazon
Fue tan fuerte. Me alegra decir que Plantronics 510 mantiene una conexión perfecta con mi celular y no estática durante el uso normal.;1;amazon
El altavoz es de baja calidad, por lo que los tonos de llamada suenan muy baratos.;0;amazon
Se adapta cómodamente, viene con tres tamaños de puntas de auriculares.;1;amazon
Excelente producto por el precio.;1;amazon
Mala recepción.;0;amazon
Este producto es muy alta calidad chino MIERDA !!!!!!;0;amazon
Era bastante cómodo en el oído.;1;amazon
Gran telefono;1;amazon
No compres este producto - ¡Falla !.;0;amazon
Todo sobre este producto es incorrecto. Primero;0;amazon
El emparejamiento de los dos dispositivos fue tan fácil que apenas tomó un par de minutos antes de comenzar a hacer llamadas con la función de marcación por voz.;1;amazon
Esto fue completamente confuso al principio, lo que me hizo perder un par de contactos muy, muy importantes.;0;amazon
Terrible titular del teléfono.;0;amazon
Los recortes y botones se colocan perfectamente.;1;amazon
Me encanta poder usar un auricular tanto por línea terrestre como por celular.;1;amazon
El problema es que los bucles están hechos de material débil y se rompen fácilmente.;0;amazon
No es tan guapo como la imagen de AMAZON lo hace ver.;0;amazon
Pero a pesar de estos pocos defectos, este caso es de una calidad excepcional y bien vale la pena los costos adicionales de poseer un producto OEM oficial.;1;amazon
¿Qué tan estúpido es eso?;0;amazon
Puedo escuchar mientras estoy conduciendo en el auto, y por lo general ni siquiera tengo que ponerlo en el nivel más alto.;1;amazon
Vendedor enviado rápidamente y mucho más barato que los competidores.;1;amazon
Buen espectáculo, Samsung.;1;amazon
Así que compré unos 10 de estos y ahorré mucho dinero.;1;amazon
Siempre se apaga y emite un pitido pitido pitido luego dice que la señal falló.;0;amazon
No pude entenderlo;0;amazon
Mi teléfono sonaba bien (no muy bien, está bien), pero el teléfono de mi esposa era casi totalmente ininteligible, no podía entender ni una palabra al respecto.;0;amazon
Así que tuve que sacar la batería del teléfono para volver a armarla y luego reiniciarla.;0;amazon
Mientras logré doblar el resorte de la hoja en su lugar, el metal ahora tiene suficiente tensión que se romperá en la próxima gota.;0;amazon
Estampado de leopardo es maravillosamente salvaje !.;1;amazon
Funciona para mi.;1;amazon
Saggy, disquete pieza de chatarra.;0;amazon
Mucho mejor que las cajas de plástico duro.;1;amazon
También tenía un nuevo problema.;0;amazon
Feliz hasta ahora !.;1;amazon
buen teléfono;1;amazon
Funciona bien;1;amazon
Motorola finalmente consiguió la calidad de voz de un auricular bluetooth correcto.;1;amazon
Pierde la conexión con el teléfono incluso cuando está a un par de pies entre los dos.;0;amazon
Pero es genial, realmente lo recomendaría.;1;amazon
Hace que sea más fácil mantenerse al día con mi bluetooth cuando no lo estoy usando.;0;amazon
Como he dicho anteriormente ... ¡BONITO DE UTILIDAD!;0;amazon
Nunca lo conseguí !!!!!;0;amazon
Este par de auriculares es lo peor que he tenido en cuanto a sonido.;0;amazon
[...] por el desagüe debido a un chasquido débil!;0;amazon
No carga el teléfono Cingular (ATT) 8525.;0;amazon
"Obtiene minutos adicionales para que pueda realizar la llamada y no cortarse "".";1;amazon
Sin embargo, después de aproximadamente un año, la tapa de la plataforma comenzó a aflojarse y tambalearse y, finalmente, mi pantalla se volvió negra y no pude recibir ni hacer llamadas.;0;amazon
Seguí atrapando el cable en el asiento y tuve que sacar el teléfono para apagarlo.;0;amazon
El auricular cumple mis requisitos, por lo que estoy satisfecho con mi compra.;1;amazon
Logitech Bluetooth Headset es un 10 !.;1;amazon
Me gusta el hecho de que descanse ligeramente contra tu oído, en lugar de dentro.;1;amazon
Muchos sitios web han calificado a este como un muy buen teléfono y yo también.;1;amazon
He probado estos cables con mi computadora y mi iPod y funciona bien.;1;amazon
El micrófono allí es una broma, y ​​el volumen es bastante bajo.;0;amazon
Los estoy devolviendo.;0;amazon
No mantengo una conexión con la computadora mientras está en mi regazo.;0;amazon
Es fácil de encender y apagar cuando está en el automóvil y los controles de volumen son bastante accesibles.;1;amazon
He tenido la mía durante aproximadamente un año y estas navidades compré algunas para el resto de la familia.;1;amazon
De lo contrario, fácil de instalar y utilizar, sonido claro.;1;amazon
bonito cuero;1;amazon
Tuve que comprar un estuche diferente.;0;amazon
Es una alegría de usar.;1;amazon
Muy decepcionado con esta empresa.;0;amazon
Muy satisfecho con eso.;1;amazon
No me cobró por mí.;0;amazon
Este es el teléfono para 2005 ... ¡Acabo de comprar mi S710a y todo lo que puedo decir es WOW!;1;amazon
Los botones son demasiado pequeños.;0;amazon
Sólo con leer las especificaciones solo te hace decir WOW.;1;amazon
Me encanta .. Gran brazalete.;1;amazon
Realmente me gusta este producto sobre el Motorola porque es más claro en el auricular y el micrófono.;1;amazon
Sin embargo, los teclados son tan pequeños que a veces llego a los botones equivocados.;0;amazon
Cambié el sony ericson z500a por esto y estoy muy contento con esa decisión.;1;amazon
Quedé muy impresionado con el precio de los casos.;1;amazon
También hace que sea más fácil aferrarse a.;1;amazon
Uso este producto en un centro de control de motores en el que hay una gran cantidad de zumbidos de alto voltaje del equipo, ¡y funciona muy bien!;1;amazon
Es bastante facil;1;amazon
No puedo hacer llamadas en ciertos lugares.;0;amazon
sin embargo, mi chica se quejó de que alguna vez el teléfono no se despierta como lo hace el teléfono normal.;0;amazon
Aunque un estilo hermoso.;1;amazon
Esta compañía me cobró una tarifa de reposición y aún no me devolvió mi reembolso.;0;amazon
Estoy tratando de devolverlo para un reembolso.;0;amazon
Lo conecté solo para descubrir que ninguna cosa funcionaba.;0;amazon
Producto excelente.;1;amazon
La pieza del auricular se rompe fácilmente.;0;amazon
Producto malísimo.;0;amazon
Este teléfono se esfuerza mucho por hacer todo, pero falla en su capacidad de ser un teléfono.;0;amazon
Es el mejor cargador que he visto en el mercado hasta ahora.;1;amazon
¡EL TELÉFONO MÁS DULCE!;1;amazon
:-) Oh, el cargador parece funcionar bien.;1;amazon
Se ajusta de manera tan segura que el gancho para la oreja ni siquiera necesita ser usado y el sonido se dirige mejor a través del canal auditivo.;1;amazon
No hay suficiente volumen.;0;amazon
Problema de eco .... muy insatisfactorio;0;amazon
solo podías tomar 2 videos a la vez y la calidad era muy mala.;0;amazon
no desperdicies tu dinero;0;amazon
Voy a tener que ser el primero en revisar negativamente este producto.;0;amazon
El adaptador no proporciona suficiente corriente de carga.;0;amazon
Había tanto entusiasmo por este teléfono que asumí que era el mejor, mi error.;0;amazon
Tampoco puede tomar fotografías con él en el caso porque la lente está cubierta.;0;amazon
El teléfono se cae fácilmente.;0;amazon
No funcionó, la gente no puede escucharme cuando hablo.;0;amazon
La función de mensajes de texto es realmente difícil de usar.;0;amazon
Estoy realmente decepcionado, todo lo que tengo ahora es un cargador que no funciona.;0;amazon
Doloroso en la oreja.;0;amazon
Duró un día y luego explotó.;0;amazon
decepcionado.;0;amazon
Tipo de fracasos alrededor.;0;amazon
La pantalla se mancha fácilmente porque toca la oreja y la cara.;0;amazon
Qué pedazo de chatarra ... Pierdo más llamadas en este teléfono.;0;amazon
El artículo no coincide con la imagen.;0;amazon
Lo único que me decepcionó es el puerto infrarrojo (irda).;0;amazon
No se puede contestar llamadas con la unidad, nunca funcionó una sola vez!;0;amazon
Una película muy, muy, muy lenta, sin rumbo sobre un joven angustiado y distraído.;0;imdb
No estoy seguro de quién estaba más perdido: los personajes planos o el público, casi la mitad de los cuales se fueron.;0;imdb
Intentando la astucia con ángulos de cámara en blanco y negro e inteligentes, la película decepcionó, se volvió aún más ridícula, ya que la actuación era deficiente y la trama y las líneas casi inexistentes.;0;imdb
Muy poca música ni nada de lo que hablar.;0;imdb
La mejor escena de la película fue cuando Gerardo está tratando de encontrar una canción que sigue corriendo por su cabeza.;1;imdb
El resto de la película carece de arte, encanto, lo que significa ... Si se trata de vacío, funciona, supongo que está vacío.;0;imdb
Desperdiciado dos horas;0;imdb
Hoy vi la película y pensé que era un buen esfuerzo, buenos mensajes para los niños.;1;imdb
Un poco predecible.;0;imdb
Me encantó el casting de Jimmy Buffet como el profesor de ciencias.;1;imdb
Y esos búhos bebés eran adorables.;1;imdb
La película mostró mucho de lo mejor de Florida, lo hizo parecer muy atractivo.;1;imdb
Las canciones eran las mejores y los muppets eran tan hilarantes.;1;imdb
Fue tan genial.;1;imdb
"Esta es una película muy ""acertada"" que entrega todo casi en su cara.";1;imdb
Tenía un promedio de actuación de la persona principal, y era un presupuesto bajo como se puede ver claramente.;0;imdb
Esta crítica está muy retrasada, ya que considero que A Tale of Two Sisters es la película más grande jamás realizada.;1;imdb
Pondré esta joya contra cualquier película en términos de guión, cinematografía, actuación, postproducción, edición, dirección o cualquier otro aspecto de la realización de películas.;1;imdb
"Es prácticamente perfecto en todos ellos, una verdadera obra maestra en un mar de faux ""obras maestras.";1;imdb
"""La estructura de esta película es fácilmente la más estrechamente construida en la historia del cine. 1";1;imdb
No se me ocurre ninguna otra película en la que ocurra algo de vital importancia cada dos minutos. 1;1;imdb
En otras palabras, el nivel de contenido de esta película es suficiente para llenar fácilmente una docena de otras películas. 1;1;imdb
¿Cómo puede alguien en su sano juicio pedir algo más de una película que esto? 1;1;imdb
Es simplemente la forma más elevada y superlativa de cine imaginable. 1;1;imdb
Sí, esta película requiere una cantidad bastante significativa de resolución de rompecabezas, pero las piezas encajan para crear una imagen hermosa. 1;1;imdb
Este cortometraje sin duda no tira golpes. 0;0;imdb
Los gráficos están lejos de ser la mejor parte del juego. 0;0;imdb
Este es el mejor juego de TH número uno en la serie. 1;1;imdb
Se merece un amor fuerte. 1;1;imdb
Es un juego de locos. 1;1;imdb
Hay niveles masivos, personajes desbloqueables masivos ... es solo un juego masivo. 1;1;imdb
Malgastar su dinero en este juego 1;1;imdb
Este es el tipo de dinero que se desperdicia adecuadamente. 1;1;imdb
En realidad, los gráficos eran buenos en ese momento. 1;1;imdb
Hoy los gráficos son una mierda. 0;0;imdb
Como dicen en Canadá, este es el juego divertido, sí. 1;1;imdb
Este juego es genial. 1;1;imdb
Cómpralo, juega, disfrútalo, ámalo. 1;1;imdb
Es PURO BRILLANTE. 1;1;imdb
Esta fue una película condenada desde su concepción. 0;0;imdb
La idea de ello fue aburrida: tome un personaje secundario de una película PG-13 mediocre y realice una no secuela completa mientras cambia su tono a una película familiar con clasificación PG. 0;0;imdb
No estaba interesado en lo más mínimo. 0;0;imdb
"No solo confirmó que la película sería poco graciosa y genérica, sino que también logró regalar toda la película	 y no estoy exagerando: en cada momento, en cada trama, en cada broma que se cuenta en el trailer. 0";0;imdb
Pero no es gracioso. 0;0;imdb
