habitantes,area_m2,neveras,lavadoras,televisores,computadores,horas_aire_dia,horas_iluminacion_dia,consumo_mensual_kwh
6,128.07,1,1,2,3,2.60,8.65,345.34
6,94.02,2,1,4,3,0.00,7.11,273.23
5,61.20,2,0,3,2,0.00,4.43,221.78
1,51.33,2,2,1,1,0.00,8.69,167.32
1,56.60,2,0,0,0,0.00,6.13,143.87
5,89.36,2,1,1,1,0.00,7.61,192.72
4,99.59,2,0,3,4,0.00,8.30,221.59
4,82.15,2,1,2,3,0.00,2.54,195.70
1,38.48,1,1,1,3,2.99,6.90,176.62
5,90.68,1,2,3,1,0.00,5.30,165.41
6,82.25,1,0,2,1,2.72,6.34,270.53
5,115.84,2,0,4,0,0.00,2.61,197.26
2,30.00,1,0,2,4,4.24,5.90,278.83
2,55.57,1,2,1,4,0.00,8.57,222.12
6,91.16,1,1,3,2,0.00,7.61,248.30
2,61.84,2,1,3,2,0.00,3.31,175.04
1,52.15,2,0,1,4,1.15,5.12,212.38
6,135.05,2,1,2,1,0.00,3.19,252.33
1,33.37,1,0,0,0,0.00,2.88,97.31
2,68.48,2,2,4,3,0.00,5.45,230.93
4,91.40,1,1,2,1,0.00,8.57,174.90
1,44.44,1,2,2,2,0.00,5.19,119.10
3,66.48,2,0,3,2,0.00,2.76,214.79
3,84.11,2,2,3,2,0.00,8.05,256.49
4,78.74,2,1,3,2,0.00,3.84,214.13
5,96.70,1,2,2,1,0.00,2.42,218.52
5,123.53,2,0,2,0,2.57,5.35,272.36
4,77.56,2,2,3,4,0.00,4.70,226.11
2,66.90,1,1,0,0,0.00,7.34,130.32
6,95.59,2,2,1,4,3.99,4.71,335.62
6,101.59,1,2,4,1,0.00,7.42,202.65
3,80.32,2,1,3,3,0.00,2.97,211.51
2,82.95,2,0,4,4,6.77,2.14,395.38
1,37.34,1,0,0,1,0.00,8.10,117.86
4,50.69,1,2,2,1,6.25,4.28,330.47
2,52.93,1,1,2,3,0.00,2.83,132.43
6,131.69,2,2,1,4,3.52,2.32,338.30
6,90.78,2,1,4,4,0.00,3.44,287.83
4,69.11,1,0,0,3,0.00,2.85,127.82
5,97.89,2,0,0,2,0.00,7.73,174.80
6,154.63,2,1,2,0,2.00,5.07,246.23
6,122.99,1,2,0,0,5.91,5.33,355.85
6,118.32,2,0,4,3,0.00,5.10,281.78
3,57.16,2,2,4,1,5.88,3.02,397.94
4,74.88,2,1,1,0,2.64,6.00,281.76
5,112.85,1,2,0,4,0.00,4.07,206.12
4,53.02,1,1,2,2,0.00,8.66,173.80
5,116.67,2,1,4,0,0.00,3.29,221.21
3,44.41,2,2,4,4,0.00,3.83,237.52
5,70.48,2,2,1,1,0.00,8.68,201.93
6,102.15,1,2,1,4,6.56,8.15,388.46
5,110.99,2,1,0,4,5.88,3.96,418.48
1,30.00,2,0,4,4,5.95,5.02,338.07
6,134.16,2,0,4,4,0.00,3.43,297.71
2,30.00,1,0,3,0,0.00,6.45,114.75
5,125.09,2,0,3,3,6.87,6.73,435.03
4,63.05,1,2,1,2,2.90,7.88,254.47
3,90.35,2,1,2,2,0.00,6.17,188.70
4,90.14,2,1,2,4,5.89,8.20,407.37
3,34.96,1,1,0,0,0.00,6.74,138.96
5,122.03,1,2,0,2,0.00,6.34,212.52
5,63.86,2,2,3,2,0.00,2.77,218.06
6,142.66,2,2,1,4,5.78,5.85,428.08
3,30.82,1,2,3,4,3.37,7.67,264.73
2,83.24,1,2,4,4,0.00,8.56,210.82
4,141.58,1,1,1,3,0.00,4.22,129.61
3,87.49,2,1,2,3,0.00,7.21,240.98
4,110.81,2,0,1,4,2.35,4.76,287.49
4,66.50,2,0,0,2,0.00,4.95,190.04
4,90.77,1,2,2,2,5.16,7.51,313.14
5,72.71,1,0,2,0,3.52,4.56,245.05
1,35.96,2,1,3,0,3.99,2.58,256.99
4,71.84,2,2,0,1,0.00,6.86,163.77
5,102.08,1,2,0,0,0.00,5.44,203.01
1,64.55,2,0,0,3,0.00,2.79,166.34
1,46.89,1,1,4,3,6.65,2.63,306.30
4,83.11,2,2,1,1,0.00,3.72,204.48
6,143.91,2,0,1,4,6.05,2.87,453.02
3,59.22,2,2,1,1,6.95,2.43,368.01
2,48.59,2,2,3,4,6.32,3.18,392.26
3,124.83,1,1,0,3,0.00,3.85,168.42
2,74.34,2,0,0,2,0.00,3.75,159.07
1,30.00,1,0,3,2,0.00,3.86,111.42
2,44.90,1,0,0,2,6.27,5.86,311.99
6,110.21,2,2,4,1,0.00,3.88,253.84
6,109.04,1,0,2,1,2.68,2.54,238.03
5,116.35,2,2,0,4,0.00,7.52,263.10
3,84.13,2,0,3,3,0.00,5.63,216.04
5,96.35,1,0,4,3,0.00,6.62,212.96
2,99.59,1,2,4,3,2.35,2.07,209.03
1,33.25,1,2,2,0,3.98,7.62,203.28
6,157.55,1,0,3,0,0.00,4.92,170.02
5,104.97,1,0,1,2,0.00,7.22,172.91
3,47.21,2,1,1,0,0.00,6.79,189.58
1,30.00,1,0,0,0,1.06,2.03,88.84
6,124.58,2,0,4,2,5.15,6.41,379.89
5,133.39,2,2,1,3,0.00,5.57,277.97
3,121.61,1,0,2,2,0.00,2.29,146.16
2,86.50,1,0,0,1,0.00,6.14,132.29
6,91.08,1,0,2,0,0.00,5.96,216.53
6,78.39,2,0,4,1,0.00,5.87,221.65
4,99.61,1,1,2,4,0.00,8.38,190.09
4,124.33,1,0,4,1,5.50,5.48,323.54
4,40.49,1,2,4,0,0.00,7.67,160.95
4,94.74,2,1,0,0,0.00,3.57,134.87
4,103.02,1,2,3,2,0.00,2.47,187.70
5,137.98,1,0,2,2,4.09,4.40,316.30
4,73.83,2,0,3,2,0.00,4.92,198.26
2,39.23,1,1,4,2,0.00,3.41,155.37
4,90.40,1,2,4,0,0.00,5.60,195.24
5,103.75,1,1,0,2,4.18,4.29,263.62
3,55.16,1,0,4,0,0.00,5.07,132.69
5,43.94,1,2,1,2,2.31,2.72,267.00
6,100.34,1,1,4,3,5.77,2.79,398.68
3,66.43,2,0,4,4,0.00,5.03,206.67
3,83.66,1,1,2,4,0.00,3.42,159.19
3,43.46,2,0,3,4,0.00,3.33,193.74
4,78.71,1,0,3,0,0.00,2.09,145.99
3,102.53,1,0,1,2,0.00,2.17,130.78
6,117.65,1,1,3,3,0.00,2.74,206.59
4,73.75,1,0,2,0,1.02,7.76,187.16
2,63.59,2,2,0,2,0.00,5.54,138.88
5,98.23,2,2,0,1,1.06,8.05,267.49
1,58.49,2,2,1,3,0.00,8.95,182.29
5,91.83,2,0,2,2,0.00,6.00,212.70
3,71.37,2,0,4,0,0.00,5.84,192.97
6,100.65,2,0,1,3,0.00,3.79,184.56
2,60.26,2,0,4,4,5.94,5.68,371.80
4,94.23,2,1,1,1,0.00,5.91,166.62
1,80.98,1,1,4,3,0.00,4.30,138.12
4,61.92,2,2,0,2,0.00,5.92,160.37
1,66.05,2,1,3,4,0.00,8.36,191.04
4,83.03,2,2,3,3,4.12,8.42,333.05
1,30.00,2,1,0,3,0.00,2.45,127.98
6,144.04,1,2,1,0,0.00,2.22,164.18
6,95.67,1,2,0,1,0.00,4.36,169.28
6,147.53,1,1,3,3,3.46,2.83,297.34
4,86.00,2,1,4,0,0.00,6.60,209.52
3,65.35,1,2,2,0,1.02,8.24,187.79
5,73.13,2,0,0,1,0.00,7.61,200.38
5,113.82,1,1,3,1,1.02,8.52,225.66
4,118.37,1,2,2,1,0.00,3.85,217.48
1,53.67,2,1,0,0,5.26,4.28,301.47
4,65.04,1,1,3,4,1.08,8.89,202.72
1,57.11,2,1,3,0,0.00,4.77,78.21
4,86.48,1,1,4,0,0.00,6.21,160.64
6,119.20,1,0,2,4,0.00,2.01,229.72
5,65.57,1,1,0,2,0.00,8.28,141.49
3,105.81,1,0,4,0,0.00,6.54,181.19
4,92.21,1,1,4,1,4.75,5.28,275.61
1,30.69,1,0,4,3,0.00,5.94,162.37
6,132.84,2,1,1,1,0.00,8.89,270.93
6,121.36,2,2,1,1,0.00,2.29,211.39
6,124.82,1,1,3,4,0.00,3.74,232.87
6,140.61,2,1,3,2,0.00,7.70,290.32
3,92.36,2,0,1,4,0.00,5.21,231.29
6,116.15,1,0,0,3,0.00,5.63,217.00
2,68.20,2,0,1,1,0.00,2.60,136.90
3,73.02,2,2,3,1,0.00,5.96,249.37
4,90.82,1,0,1,0,0.00,8.95,169.05
1,30.00,1,1,4,1,0.00,5.95,133.77
4,95.24,1,0,2,1,0.00,6.35,178.87
3,58.38,1,1,2,0,0.00,5.46,99.34
3,63.44,1,0,0,0,0.00,2.98,86.87
1,49.88,2,2,3,2,0.00,3.99,158.51
3,50.78,2,0,3,1,0.00,3.09,157.95
6,149.91,1,0,2,2,3.09,4.21,288.22
5,102.86,2,2,2,4,3.81,8.83,374.91
1,40.08,1,1,1,0,0.00,8.49,106.02
5,99.92,1,2,4,0,0.00,7.32,207.23
1,68.48,2,0,1,3,1.00,6.18,166.78
6,130.20,1,2,3,1,0.00,3.63,244.77
1,30.00,2,0,0,0,3.92,4.76,231.14
2,42.41,2,1,1,1,0.00,5.15,160.01
4,86.27,2,0,2,1,3.86,2.66,291.05
5,87.49,1,1,1,1,0.00,7.20,176.93
6,128.20,2,1,1,4,4.41,6.20,364.49
2,42.57,2,2,2,2,4.06,4.78,317.26
1,63.26,1,0,3,0,0.00,6.12,94.24
3,53.51,1,1,2,1,1.31,5.36,202.36
5,110.11,2,0,3,0,0.00,8.74,177.03
3,68.16,1,2,2,2,1.57,6.43,219.55
4,95.29,1,0,1,1,0.00,8.41,148.72
2,30.00,2,2,1,0,0.00,6.54,145.85
5,102.76,2,0,4,3,0.00,5.67,214.12
5,63.11,1,1,3,4,0.00,3.59,203.58
5,85.44,1,2,3,1,0.00,6.39,187.45
1,46.95,2,0,4,0,0.00,5.39,157.14
2,63.23,2,0,2,4,0.00,3.21,184.84
6,109.76,2,1,0,2,6.92,4.47,424.51
1,30.42,2,2,1,2,0.00,3.29,153.68
2,74.63,1,0,0,3,2.32,5.31,173.66
2,51.11,2,0,3,0,0.00,6.65,150.76
3,74.28,2,1,0,1,0.00,4.04,147.76
6,91.75,2,1,2,0,3.13,6.36,297.78
1,65.51,2,2,3,1,0.00,7.13,205.89
2,39.22,2,1,0,0,0.00,2.95,140.69
6,104.36,1,1,0,0,0.00,4.10,166.28
6,118.36,1,2,2,0,0.00,5.94,182.56
1,56.74,1,0,0,3,1.51,8.23,162.16
2,69.77,2,0,1,4,0.00,6.15,197.96
2,30.40,1,2,1,1,0.00,7.65,165.71
4,88.42,1,1,2,4,0.00,7.00,160.41
2,56.92,2,0,4,3,0.00,8.55,194.08
1,80.86,2,1,3,3,4.34,7.89,300.75
3,44.82,1,1,1,3,3.72,5.00,225.74
3,93.63,1,0,2,0,6.15,2.37,274.42
5,91.94,2,1,0,2,0.00,4.69,239.34
4,112.63,1,2,0,1,0.00,2.62,156.58
1,47.71,1,2,1,0,0.00,4.94,116.68
4,108.76,2,1,0,3,0.00,3.38,222.58
5,123.51,1,1,3,2,0.00,8.30,218.28
6,100.48,2,1,1,2,0.00,6.67,237.42
5,121.50,2,1,4,1,0.00,7.72,234.68
3,85.36,1,1,4,2,0.00,4.61,165.74
6,138.64,2,0,3,4,0.00,4.10,234.32
1,35.08,1,2,4,4,0.00,6.94,216.64
2,43.15,2,0,2,0,0.00,5.66,159.74
5,132.78,2,0,2,0,0.00,5.17,171.20
5,104.56,1,0,0,3,0.00,8.45,190.35
3,66.05,1,0,3,4,0.00,7.09,167.47
3,78.14,2,0,3,2,2.80,6.92,269.67
5,82.78,1,0,2,2,6.68,3.06,347.08
2,69.41,1,2,4,1,0.00,6.40,161.60
5,101.46,2,1,0,3,6.05,8.28,388.15
6,126.50,1,2,2,1,0.00,6.39,218.47
3,43.52,1,1,2,1,0.00,7.63,176.22
3,65.81,1,1,1,0,5.16,2.49,239.05
4,90.65,1,0,0,2,5.54,7.07,315.17
4,81.10,1,1,2,4,5.89,6.65,388.95
5,116.57,2,0,3,3,0.00,3.11,236.67
2,57.50,1,1,3,3,0.00,7.21,137.96
5,77.73,2,1,3,4,0.00,2.16,262.92
4,105.68,1,2,3,4,2.31,6.88,273.87
1,44.50,2,1,2,0,0.00,7.61,149.96
1,31.51,1,1,3,3,0.00,3.48,132.00
2,36.62,2,1,1,3,0.00,6.24,184.28
4,79.83,1,2,0,0,0.00,8.45,140.38
6,113.74,2,1,4,0,0.00,2.73,195.45
1,30.00,1,1,1,2,0.00,2.20,126.07
4,83.61,2,2,0,4,0.00,2.20,199.59
1,59.11,2,1,2,0,3.05,2.91,232.49
1,54.49,1,0,4,1,3.65,4.72,221.60
2,90.42,2,1,0,2,0.00,4.59,188.58
5,119.14,2,0,3,0,0.00,5.58,195.22
3,71.23,2,2,3,2,3.40,8.00,337.13
1,38.31,1,2,2,2,0.00,2.02,124.46
4,99.62,2,1,3,1,0.00,4.97,235.05
6,147.53,2,2,2,3,0.00,2.67,250.54
2,71.17,1,2,0,4,0.00,2.31,174.97
5,99.62,2,1,0,3,5.18,8.17,377.24
6,108.08,1,0,2,2,0.00,4.61,189.65
1,76.07,2,1,2,2,0.00,2.70,130.24
2,66.05,1,2,4,2,0.00,7.84,161.61
3,57.73,2,2,3,2,0.00,4.06,187.97
3,81.91,2,0,1,4,0.00,3.31,194.86
1,59.49,1,0,4,4,0.00,8.07,185.32
5,107.26,2,1,1,1,0.00,6.86,229.71
6,119.12,2,0,1,2,3.66,4.90,333.73
6,98.26,2,2,1,1,0.00,6.58,244.16
6,115.84,1,0,0,3,0.00,7.07,201.89
2,71.07,1,2,4,0,0.00,5.98,161.25
1,72.07,2,1,1,3,0.00,2.63,138.39
1,45.52,1,2,4,4,0.00,2.43,174.87
1,30.00,2,2,1,0,0.00,5.90,104.28
6,103.79,2,0,2,1,4.62,7.40,338.40
1,64.78,1,0,1,0,5.07,2.04,240.06
1,38.23,2,1,3,2,0.00,5.50,213.76
3,49.91,1,2,4,1,0.00,2.06,156.92
5,75.47,2,0,1,4,6.89,4.28,415.98
5,82.14,1,1,4,3,0.00,8.14,242.73
3,74.09,1,1,0,2,0.00,5.29,144.99
1,51.03,2,0,3,3,0.00,3.80,178.07
2,87.55,1,0,3,1,4.89,3.38,249.72
4,93.21,1,2,0,1,0.00,7.80,137.86
1,30.00,1,1,2,1,5.89,4.81,266.74
6,93.67,1,1,3,3,0.00,5.77,222.58
2,66.11,1,0,1,3,0.00,7.45,160.39
3,89.38,2,2,0,1,0.00,5.50,174.35
4,72.70,1,2,3,4,0.00,2.39,228.81
6,98.69,1,0,3,1,0.00,5.71,192.47
4,55.66,2,0,2,0,0.00,7.31,192.56
6,109.62,2,2,2,4,0.00,3.32,284.28
1,68.33,2,0,4,0,3.45,7.61,286.35
6,110.07,1,0,2,0,0.00,4.72,191.53
6,110.86,2,2,1,0,0.00,4.07,208.71
3,71.17,1,2,0,1,1.79,2.78,162.89
6,87.43,2,1,3,1,0.00,7.36,221.93
4,55.59,2,0,1,3,4.28,7.50,291.22
1,30.00,2,2,4,0,0.00,8.30,190.67
2,68.72,1,0,4,1,0.00,7.57,143.30
4,84.51,1,0,2,4,0.00,3.95,200.10
6,134.24,2,2,3,1,0.00,3.69,244.42
3,119.39,1,0,0,0,0.00,7.18,132.83
4,84.36,1,2,2,4,0.00,5.89,202.20
5,105.91,2,2,4,0,0.00,7.10,222.89
6,80.83,1,2,3,1,0.00,8.70,232.17
2,30.93,1,1,4,3,0.00,4.29,173.45
1,58.67,2,2,0,3,0.00,6.19,215.91
4,75.03,2,0,1,4,0.00,7.04,241.96
3,67.98,2,0,2,2,0.00,2.49,180.20
3,94.44,1,0,0,4,0.00,8.83,181.90
1,30.00,1,1,3,3,5.52,3.50,256.96
3,85.59,1,1,3,2,0.00,6.57,186.14
5,94.49,2,0,0,4,0.00,3.16,268.58
4,63.38,1,0,3,2,0.00,4.27,178.17
1,70.77,1,0,1,1,1.17,2.76,115.11
6,113.28,2,0,1,2,3.84,4.11,273.44
1,90.55,1,0,2,4,5.57,3.19,296.42
5,124.70,1,1,3,0,5.27,8.81,363.57
2,74.29,2,0,0,0,4.59,2.81,265.71
5,101.92,2,2,3,0,0.00,6.22,206.42
5,118.80,2,2,1,1,0.00,5.16,248.20
6,99.66,1,2,1,2,2.39,5.25,278.33
5,82.61,1,2,3,0,0.00,5.35,197.97
1,57.12,1,0,3,1,0.00,5.45,145.60
3,87.91,2,1,1,4,0.00,8.83,216.16
4,88.27,2,0,3,3,0.00,7.47,262.07
3,74.66,1,2,4,3,0.00,5.72,190.29
5,123.98,2,1,3,0,0.00,2.63,177.19
5,121.77,1,0,4,1,0.00,8.29,187.38
6,130.72,1,0,4,2,0.00,3.33,208.41
5,104.48,2,1,0,3,0.00,4.40,231.53
6,116.47,2,2,2,4,4.95,4.31,405.31
5,112.47,1,1,4,1,0.00,3.70,213.64
6,100.13,2,1,1,1,0.00,3.81,182.85
2,72.07,2,2,1,2,0.00,8.64,192.74
3,66.51,1,2,2,3,0.00,3.76,172.98
5,96.16,1,1,2,4,0.00,8.03,226.42
6,114.07,2,2,0,2,0.00,3.63,258.58
1,30.00,2,0,2,4,0.00,3.66,122.70
4,93.82,2,0,3,0,0.00,2.48,160.79
2,61.45,2,1,4,2,1.13,6.56,236.54
5,104.19,1,0,1,2,0.00,8.07,175.78
1,30.00,1,1,0,0,0.00,4.36,47.35
6,101.23,1,0,1,0,0.00,5.56,179.28
3,62.91,1,1,1,0,0.00,4.10,123.93
3,69.75,2,1,2,1,3.15,6.60,272.44
4,80.59,1,2,2,3,0.00,5.88,182.88
3,72.05,1,2,3,3,0.00,6.38,210.98
2,63.73,2,0,3,4,0.00,8.18,224.97
2,62.31,1,2,0,1,6.22,6.14,283.67
6,107.40,1,0,3,3,5.31,8.61,331.47
4,83.36,2,0,3,4,0.00,7.81,251.24
5,97.08,1,2,3,3,6.42,5.03,400.34
3,66.87,2,2,0,3,0.00,6.49,228.99
1,70.18,2,0,3,3,0.00,4.67,168.25
3,77.28,1,0,0,1,0.00,7.75,105.92
6,116.29,1,0,1,4,4.43,6.01,308.25
5,130.55,1,2,1,0,0.00,6.16,140.94
4,83.92,2,1,1,2,0.00,3.33,206.97
1,36.79,1,2,1,4,0.00,2.47,141.50
2,59.20,1,2,2,4,0.00,8.54,172.66
2,67.67,2,2,3,2,0.00,7.51,198.97
6,102.73,2,1,1,1,5.74,6.79,362.13
2,67.63,2,2,3,0,0.00,7.86,152.29
6,74.86,1,2,0,0,0.00,6.78,176.34
6,134.90,2,0,4,1,0.00,3.87,234.28
5,72.54,2,2,4,1,0.00,8.50,215.76
4,86.18,1,2,3,4,0.00,2.31,194.21
3,30.00,2,1,2,1,6.14,2.66,359.82
5,115.84,1,2,2,1,2.09,8.31,246.12
4,66.18,1,1,4,3,1.11,2.63,196.04
5,109.36,1,1,1,0,0.00,8.04,177.94
5,88.47,1,2,2,3,0.00,2.36,213.87
5,113.94,2,1,1,0,0.00,4.28,188.17
2,60.87,1,1,0,3,0.00,8.65,134.67
3,98.65,1,1,1,4,0.00,3.00,163.16
3,87.10,2,1,4,3,6.26,3.04,409.63
6,117.27,2,0,3,0,0.00,6.84,247.91
2,93.15,2,0,4,2,1.86,7.75,276.69
1,53.19,2,0,4,4,1.02,2.74,211.21
6,112.91,1,2,0,4,5.81,6.46,368.90
4,105.52,1,2,0,2,0.00,5.72,168.92
4,114.11,1,2,3,1,6.34,5.53,337.16
6,96.65,1,2,1,4,0.00,6.19,216.72
5,111.46,2,1,1,3,0.00,6.85,260.90
6,132.85,1,2,1,0,4.92,6.22,325.69
4,136.68,1,2,4,3,0.00,7.55,236.82
1,31.06,2,2,1,3,0.00,8.15,146.66
5,73.33,2,1,3,4,0.00,4.94,244.06
6,136.60,1,1,3,3,0.00,8.68,254.56
6,123.85,1,2,2,4,0.00,2.95,208.74
6,106.70,1,1,0,4,0.00,4.44,218.23
5,82.82,1,2,4,0,0.00,8.45,180.52
2,60.69,1,1,0,0,0.00,3.18,102.03
6,138.39,1,2,2,0,0.00,6.28,180.87
6,71.29,1,2,3,1,0.00,4.82,187.03
6,101.85,1,0,0,3,0.00,3.60,176.44
1,81.31,2,1,1,4,0.00,3.56,157.29
3,50.55,1,0,4,2,0.00,3.03,155.24
6,84.87,1,1,0,3,0.00,8.45,197.57
5,84.16,2,0,3,2,0.00,8.04,275.07
1,36.05,1,0,1,2,1.20,4.96,110.00
4,61.64,1,0,1,2,0.00,6.36,165.58
2,30.00,2,2,4,0,0.00,2.03,190.34
2,70.73,2,2,3,3,0.00,6.21,198.21
5,97.59,2,2,4,0,6.04,2.58,358.76
4,78.57,2,1,3,0,4.59,7.32,307.19
3,71.82,2,1,4,3,0.00,8.95,220.89
6,137.44,1,0,2,4,3.29,5.86,277.84
3,60.24,2,1,4,3,6.05,7.31,324.03
3,58.92,1,2,1,0,5.32,6.30,244.76
4,123.79,2,0,1,3,0.00,4.65,219.57
6,106.30,1,2,4,2,0.00,8.35,257.49
1,31.47,2,1,2,2,0.00,5.96,160.42
6,110.08,2,0,2,2,0.00,5.68,226.59
2,95.57,1,0,2,1,0.00,4.45,147.28
5,116.64,1,2,3,4,3.36,6.32,328.72
1,56.18,1,0,3,4,4.99,7.39,308.05
4,114.39,1,2,1,2,0.00,8.49,208.78
3,71.78,2,0,1,0,0.00,3.75,136.46
4,66.71,2,1,1,0,0.00,4.09,167.12
2,87.18,1,1,0,2,0.00,8.19,131.08
5,98.88,2,2,2,1,0.00,2.15,203.29
5,111.98,1,2,0,2,1.72,6.06,231.72
1,33.74,2,0,0,2,0.00,5.95,125.14
3,60.43,2,2,3,2,0.00,7.63,217.48
6,79.60,2,0,0,4,0.00,7.07,250.79
6,132.15,2,1,0,3,0.00,2.92,225.64
4,100.01,1,1,3,0,0.00,4.72,108.51
6,112.55,2,2,0,2,0.00,6.06,195.66
3,78.42,2,0,4,4,0.00,3.38,238.76
2,57.19,2,2,4,3,0.00,3.59,181.13
4,63.49,1,2,1,3,4.04,5.94,308.38
5,114.11,2,1,0,2,0.00,2.51,183.48
6,127.57,1,0,4,1,0.00,3.93,223.12
1,75.56,1,2,4,0,0.00,2.22,119.41
2,62.53,1,2,4,3,5.56,7.71,334.01
1,40.48,2,2,1,0,0.00,2.68,131.99
1,30.00,2,0,3,2,4.97,4.19,257.95
5,86.23,1,1,3,3,0.00,5.13,229.15
6,77.33,1,0,4,0,0.00,8.94,189.85
5,90.79,2,0,2,3,0.00,7.63,235.62
2,56.92,2,2,2,3,0.00,3.08,181.78
6,108.87,1,0,2,2,0.00,4.22,147.83
5,159.69,2,0,4,3,0.00,4.27,266.99
3,67.76,2,1,2,2,5.75,5.14,339.46
3,64.37,2,0,1,3,0.00,7.54,194.00
4,49.74,2,1,4,4,0.00,2.19,267.45
4,63.99,1,0,4,1,0.00,4.18,158.31
3,72.49,2,2,3,3,0.00,8.78,216.18
4,67.65,1,1,3,4,5.48,3.96,344.10
5,67.88,1,0,3,0,0.00,8.80,151.28
2,52.88,2,2,3,4,0.00,9.00,233.09
6,130.84,1,1,3,1,0.00,3.19,209.61
3,64.25,1,1,3,2,0.00,5.97,171.16
6,108.81,1,2,4,0,6.65,8.27,432.65
1,42.82,2,0,2,0,0.00,6.92,131.88
6,144.05,2,0,3,4,1.35,6.24,326.61
4,64.93,2,1,4,2,0.00,6.89,200.44
6,97.36,2,0,1,1,0.00,6.20,211.67
2,75.17,1,0,0,0,0.00,2.82,85.00
3,79.96,2,2,4,3,0.00,2.15,247.51
2,72.95,2,2,4,1,5.61,7.73,350.29
3,98.57,2,1,3,1,0.00,5.81,211.28
3,75.09,2,0,4,2,2.06,6.78,230.40
3,31.34,2,2,1,3,0.00,8.03,213.56
6,94.74,2,2,0,4,6.89,6.97,425.84
2,47.32,2,1,1,2,0.00,3.64,185.48
6,83.88,1,1,0,4,0.00,4.70,217.46
4,114.79,2,2,2,1,0.00,4.19,211.65
5,116.50,2,1,1,2,4.40,6.04,387.15
5,108.65,1,2,0,4,0.00,8.43,248.06
1,30.00,2,2,2,1,0.00,3.53,160.77
4,65.63,1,0,4,1,0.00,3.75,152.08
4,97.28,1,2,1,2,0.00,7.89,192.66
2,40.98,2,2,1,4,0.00,5.66,234.45
2,41.72,1,2,4,0,4.16,4.89,256.41
5,58.38,2,0,2,4,3.87,7.48,355.56
6,108.84,1,0,4,3,0.00,6.30,174.33
6,107.22,2,2,4,0,2.06,4.58,327.58
3,61.42,1,0,4,0,0.00,7.60,185.87
3,77.29,1,2,3,2,0.00,7.97,182.71
3,81.96,2,0,2,1,4.12,4.36,279.96
5,118.03,2,0,3,0,0.00,6.00,186.85
4,108.51,1,2,3,3,0.00,8.54,210.99
6,139.39,1,2,2,1,5.26,6.56,343.27
1,70.92,2,0,1,4,0.00,3.37,160.04
5,67.92,2,2,1,3,0.00,2.99,221.31
3,74.83,1,1,3,3,0.00,7.28,198.10
4,109.59,2,0,1,3,0.00,6.06,251.44
6,128.18,1,1,3,3,0.00,8.57,220.46
1,46.17,2,2,4,1,2.45,7.71,218.39
6,114.30,2,1,0,3,0.00,2.75,209.64
1,50.93,1,0,1,0,0.00,5.15,131.02
3,84.55,2,2,1,0,0.00,3.34,159.26
2,80.94,1,1,0,3,6.11,5.92,312.58
1,58.46,1,2,3,1,3.35,2.33,242.73
2,51.91,1,0,2,3,2.62,5.89,217.56
4,55.91,1,2,0,3,0.00,7.98,168.36
2,60.63,2,2,3,2,3.53,5.89,306.42
6,130.23,1,1,4,1,0.00,7.68,239.38
3,74.16,2,1,4,3,0.00,3.49,173.49
4,75.76,2,0,2,2,0.00,5.52,189.10
1,48.80,1,1,0,4,0.00,8.44,160.80
3,103.75,1,2,0,1,0.00,8.31,129.07
2,79.29,1,2,2,0,0.00,7.96,154.24
6,145.41,1,0,1,4,0.00,5.42,230.14
2,57.59,2,1,2,2,0.00,7.60,181.15
3,76.24,2,2,1,0,6.50,5.49,361.72
3,62.86,1,0,0,0,0.00,4.72,122.43
6,95.78,1,2,0,2,0.00,8.38,150.87
5,100.86,2,1,4,4,5.22,7.66,380.64
2,65.86,2,0,4,0,0.00,6.60,186.41
1,57.84,2,1,4,2,0.00,6.55,202.77
4,93.05,1,0,1,3,0.00,7.23,153.34
4,71.65,2,1,0,3,0.00,2.54,194.25
6,127.72,1,0,2,3,6.36,8.55,399.13
4,132.39,1,2,3,2,0.00,2.90,182.47
2,62.93,2,2,1,1,0.00,7.11,179.01
4,71.44,1,0,0,2,6.44,3.24,318.51
4,65.67,1,0,0,2,6.82,8.82,354.63
2,83.79,1,0,2,3,0.00,8.51,158.48
1,68.13,2,1,0,4,4.10,8.68,277.17
2,52.14,2,1,3,1,0.00,4.87,193.19
2,68.17,2,0,0,1,0.00,5.55,137.14
6,123.80,2,1,1,3,0.00,7.89,241.33
6,96.72,1,1,4,2,0.00,7.40,237.60
6,122.27,2,1,3,3,0.00,3.95,225.06
5,123.01,2,0,4,4,3.15,3.28,324.58
3,115.33,2,1,1,0,0.00,6.77,178.85
3,95.30,2,0,4,3,0.00,5.62,144.95
6,86.06,1,0,1,3,6.41,7.23,383.45
6,80.18,2,2,4,2,5.80,6.61,435.25
4,88.52,1,2,3,3,0.00,4.78,184.60
5,101.76,2,0,3,1,0.00,2.07,228.29
1,32.56,1,2,1,0,5.69,3.72,260.30
1,44.53,2,2,3,4,0.00,6.76,204.27
6,103.28,2,0,3,2,6.74,6.05,461.59
6,98.79,2,1,3,4,0.00,7.46,265.10
4,61.34,1,0,1,4,0.00,6.74,207.92
2,49.31,2,1,3,2,0.00,3.30,173.16
4,50.68,2,2,2,2,0.00,4.88,196.97
2,85.05,2,0,2,0,0.00,3.30,107.48
6,127.27,1,1,0,1,1.84,7.33,249.47
