area_m2,habitaciones,banos,estrato,antiguedad_anos,parqueaderos,distancia_centro_km,piso,precio_cop
135.15,3,3,4,23,1,9.68,5,693090000
101.12,3,2,5,33,0,10.61,5,518010000
78.43,3,1,2,1,0,17.96,9,263710000
165.13,5,3,3,9,1,6.94,5,840500000
144.02,5,3,5,3,1,7.09,13,714120000
42.5,1,1,3,31,0,11.09,5,178530000
135.81,4,3,5,24,1,10.06,7,738830000
67.86,2,1,4,32,0,6.15,8,299610000
121.91,3,2,3,29,0,11.01,20,450150000
43.44,1,1,5,16,0,16.86,9,229720000
145.63,4,2,3,18,1,9.44,19,560170000
198.27,6,3,2,35,2,15.22,14,900230000
83.58,2,2,4,14,0,10.75,18,590760000
142.91,3,3,4,4,1,12.79,18,754150000
98.67,3,1,4,27,0,10.91,17,498690000
141.37,4,3,5,1,1,7.76,11,801310000
127.31,3,3,4,24,1,9.24,10,633160000
119.95,3,2,4,1,1,14.16,3,595270000
115.61,3,2,3,9,1,14.15,19,469230000
93.26,3,2,3,20,1,11.49,2,467760000
157.81,5,3,5,34,1,13.23,15,857940000
102.73,3,3,2,5,0,14.92,13,459340000
143.64,4,3,5,24,1,12.37,11,633920000
198.04,6,4,4,1,1,13.02,4,1055100000
170.26,5,3,3,2,2,9.04,14,863730000
88.59,2,2,3,13,1,9.84,10,426910000
58.86,2,1,3,37,1,14.51,8,231060000
203.75,6,3,4,2,2,8.05,2,1044490000
147.29,4,2,5,1,0,11.15,2,748750000
140.55,4,2,4,1,1,10.22,20,759580000
207.19,6,4,2,6,2,14.26,4,863340000
46.66,1,1,4,30,0,11.17,6,318430000
209.59,5,3,4,39,2,17.81,8,945510000
122.88,4,2,3,35,0,12.86,12,426980000
39.23,1,2,5,22,0,6.09,12,206580000
179.95,6,3,3,32,1,12.37,8,745810000
187.66,6,4,3,8,2,10.81,17,917360000
90.97,2,2,3,17,1,2.27,5,366280000
174.93,5,3,5,11,2,11.33,12,962390000
181.05,5,3,3,4,1,12.13,3,857620000
196.28,6,3,6,21,2,10.8,2,1185820000
74.11,2,2,4,40,0,6.21,13,378300000
158.09,5,3,3,3,0,21.13,13,775050000
96.49,3,1,4,27,1,7.23,8,560810000
144.31,4,3,3,12,1,15.2,10,598930000
68.41,1,2,3,28,0,7.05,5,347360000
171.73,4,3,2,20,1,15.83,12,676020000
156.88,4,2,4,13,1,10.13,5,733830000
138.96,5,2,2,32,1,16.53,11,640960000
170.58,5,3,2,40,1,20.01,12,706260000
77.28,2,1,5,26,1,13.86,6,286360000
101.77,3,2,5,11,1,13.25,10,512260000
94.8,3,1,3,23,1,14.59,13,321430000
71.5,2,1,4,37,0,13.27,4,423480000
43.46,1,1,6,28,0,7.17,9,440520000
204.92,6,4,3,12,1,12.26,9,940740000
190.46,5,3,3,10,3,4.18,4,925380000
79.72,2,2,3,37,0,15.75,9,335090000
172.05,4,3,4,39,2,10.95,3,787770000
202.66,5,3,4,18,1,18.01,18,907440000
61.88,2,1,2,9,0,13.46,12,218640000
65.81,2,2,3,22,0,15.98,9,318470000
38.22,2,1,3,13,0,10.18,12,319900000
67.61,2,1,3,7,0,11.65,15,416110000
195.9,5,4,3,12,1,12.92,4,974080000
73.66,1,2,4,28,0,12.68,17,269110000
165.42,4,3,3,36,2,17.42,14,726480000
58.0,3,1,4,6,0,9.32,5,375240000
101.4,3,2,3,34,1,12.02,6,500610000
88.4,2,2,3,25,1,14.23,17,420660000
94.4,2,1,4,40,1,12.44,13,480360000
154.53,5,3,4,5,1,10.69,15,840590000
104.93,3,2,4,12,1,9.88,14,587230000
101.17,2,2,3,9,0,3.64,10,519840000
117.26,3,2,2,4,0,14.97,2,437100000
76.33,1,1,4,33,0,13.17,8,431320000
53.19,1,1,2,7,0,15.31,12,301040000
72.34,1,2,3,21,1,16.52,17,327490000
41.33,1,1,3,0,1,10.33,17,187260000
133.31,4,2,3,7,1,7.63,5,731500000
167.49,5,3,5,29,1,21.09,17,852690000
186.89,5,4,3,4,1,14.06,11,807070000
110.5,3,2,4,4,0,14.8,10,491140000
174.79,4,3,5,20,2,6.86,2,1009020000
61.2,1,1,3,13,0,9.46,6,272070000
144.49,3,3,3,12,1,8.01,4,798500000
68.17,2,2,4,39,0,14.24,15,382580000
149.33,4,3,5,16,1,8.13,6,747240000
109.43,2,2,3,40,0,11.57,12,435960000
123.56,4,3,4,33,0,10.49,7,614130000
145.82,4,2,5,30,1,8.02,14,755300000
167.69,5,3,4,8,1,7.21,5,770960000
156.76,4,2,3,4,1,10.17,11,747060000
53.85,2,2,2,17,0,14.61,2,80000000
178.75,5,2,5,39,2,5.85,19,957940000
136.57,5,2,3,8,1,19.01,19,700470000
42.24,1,2,3,6,0,23.0,1,162230000
69.29,2,2,3,22,0,16.49,13,229500000
118.85,3,2,2,37,1,7.42,3,399760000
194.61,6,3,2,17,2,12.49,14,960020000
193.23,5,4,4,35,2,3.39,16,1054570000
46.29,1,1,3,0,0,16.59,3,294330000
43.31,2,1,3,17,0,21.62,15,80000000
114.74,3,2,4,6,0,10.05,2,735290000
94.05,3,2,4,20,0,12.41,4,489730000
95.78,2,2,4,10,1,8.76,4,538020000
139.9,4,2,5,32,1,9.01,4,745420000
137.68,3,2,4,32,1,4.55,8,614670000
201.81,6,3,2,33,2,7.08,12,754520000
121.35,4,2,4,28,1,3.3,4,638740000
187.15,5,3,3,19,1,20.63,12,807500000
151.51,5,3,3,37,1,12.02,2,707740000
209.81,6,4,4,35,3,15.98,5,902870000
45.59,1,2,3,16,0,12.42,16,245790000
54.9,1,1,6,14,0,11.29,19,479200000
70.81,2,1,4,20,0,14.98,8,316790000
126.09,4,2,3,8,1,7.29,4,743950000
166.12,6,4,3,26,2,9.47,3,739960000
105.7,3,1,4,23,0,9.25,12,653430000
113.13,3,1,3,17,2,13.1,16,612520000
57.74,1,1,5,34,0,10.49,17,234900000
93.4,2,2,4,26,0,9.1,5,394070000
49.7,1,2,3,28,0,13.54,18,191720000
42.4,1,1,4,8,0,10.95,17,208920000
47.46,1,2,5,2,1,9.03,14,211230000
59.17,1,1,4,32,0,7.85,19,403580000
123.18,3,2,3,38,1,8.11,2,460370000
191.34,5,3,3,17,2,5.71,16,848060000
71.97,1,1,3,12,1,16.56,13,300310000
203.81,5,3,4,18,1,10.29,4,1004990000
115.39,2,2,3,38,1,12.8,12,347910000
84.45,2,2,4,16,0,8.65,16,357600000
112.11,4,2,3,29,1,10.19,12,481660000
125.01,3,2,4,36,2,8.92,4,614750000
150.45,4,3,3,22,1,14.92,14,724280000
195.62,5,3,3,3,1,16.42,8,758800000
39.56,2,1,4,15,1,8.36,7,342110000
193.14,5,3,3,9,2,14.02,7,880950000
46.32,1,1,3,9,0,16.5,5,356660000
71.13,3,1,4,19,1,5.9,12,593250000
209.47,6,3,3,14,2,10.51,10,1148820000
94.03,2,1,4,2,0,10.06,2,445040000
198.56,6,3,3,30,2,17.76,10,950900000
135.7,3,3,3,11,1,10.57,4,616040000
53.74,2,1,3,23,0,6.33,18,301140000
181.96,5,3,4,8,2,12.09,8,1052880000
95.8,3,2,3,17,0,5.3,5,395190000
133.01,4,3,4,22,1,5.69,9,671200000
180.94,4,3,6,31,2,11.59,17,1095170000
72.7,1,2,4,3,0,6.8,6,362220000
75.33,2,2,4,2,0,14.29,12,334730000
139.16,3,2,3,9,2,11.79,16,572390000
88.58,4,2,4,31,1,10.36,12,512040000
127.76,3,3,3,23,1,10.5,11,570710000
123.48,4,2,5,26,1,9.01,17,745290000
124.61,3,2,5,4,1,8.69,15,715520000
41.52,1,2,5,19,0,7.83,7,199670000
41.07,1,1,2,5,0,14.16,2,171020000
52.52,1,2,2,39,0,17.54,6,192790000
176.86,6,3,4,22,1,15.36,14,915200000
60.77,2,1,4,40,0,9.19,2,225170000
44.42,1,1,4,9,0,7.93,9,233260000
127.37,4,3,4,37,1,11.23,10,663220000
205.25,6,3,4,22,2,13.23,12,866250000
112.77,3,2,2,33,1,10.66,9,516170000
112.69,2,1,4,3,1,11.7,15,698270000
71.37,1,1,3,29,1,16.41,14,328360000
108.44,3,1,5,26,0,8.43,8,575290000
56.24,1,2,3,40,0,14.92,7,265510000
172.76,5,3,6,36,1,1.88,8,1028330000
137.65,3,2,3,22,0,11.41,19,648620000
72.36,2,2,5,8,0,2.26,7,431350000
91.5,3,1,3,10,0,9.39,10,387140000
136.08,4,3,2,35,1,13.53,20,481290000
116.44,3,2,2,16,1,15.07,20,529120000
130.32,3,2,4,36,0,17.96,4,579950000
39.22,1,1,2,16,0,10.83,3,101620000
105.97,2,2,6,13,0,5.76,15,771160000
128.35,3,2,3,6,1,17.97,11,537820000
88.69,3,3,5,16,0,0.5,13,634990000
86.84,2,1,5,28,0,9.96,2,419870000
150.85,4,3,2,10,2,8.19,1,716220000
118.87,3,3,2,33,1,10.46,15,361910000
92.13,2,2,3,26,0,13.34,12,339610000
152.64,5,3,6,30,1,0.57,18,916760000
204.64,6,3,5,18,2,9.72,13,1111130000
83.08,2,2,3,21,0,11.75,13,436760000
138.82,4,2,3,37,1,12.05,11,784680000
58.65,1,1,5,28,0,5.5,13,387730000
195.33,6,4,3,37,2,8.16,6,977550000
157.11,5,2,3,18,1,12.99,9,639110000
131.09,3,3,3,11,1,14.39,7,603160000
49.14,2,1,2,5,0,14.39,19,258430000
108.79,3,2,4,3,0,10.11,17,530950000
110.16,3,2,4,12,0,3.1,13,579330000
41.21,1,1,5,36,0,13.18,19,313610000
197.43,5,4,3,25,1,14.85,6,691110000
95.33,2,2,3,20,1,14.35,6,340990000
156.76,4,3,3,21,0,12.79,9,744500000
188.52,5,4,3,35,1,12.0,7,917460000
175.16,4,3,4,31,2,12.82,2,853090000
82.29,2,2,3,31,0,16.0,12,317970000
151.18,4,3,4,27,1,17.28,8,768190000
176.7,6,3,4,40,2,8.16,1,788850000
41.36,1,1,3,24,0,11.83,5,164560000
155.26,5,3,3,22,2,11.02,5,792430000
146.03,3,2,3,11,2,11.38,4,724110000
63.06,1,1,3,12,1,15.8,8,225240000
177.64,5,3,4,37,1,6.44,4,944670000
182.83,5,3,3,8,1,10.43,3,918460000
163.65,4,2,4,24,2,7.99,17,808110000
85.5,2,2,5,38,1,3.94,19,489160000
46.75,1,1,2,34,0,10.13,15,265300000
182.92,5,3,4,12,1,9.62,5,882590000
98.66,3,2,5,20,0,11.2,11,623970000
209.78,5,3,3,38,2,10.97,14,921720000
208.25,6,3,2,7,2,9.76,17,842530000
134.68,4,2,5,31,1,13.3,4,818240000
78.25,2,1,4,31,1,9.48,16,427120000
65.07,3,2,3,21,0,10.62,7,371760000
86.86,2,1,2,11,0,21.11,5,408220000
196.26,6,3,3,11,2,14.71,8,844450000
205.67,6,3,3,13,1,6.41,11,946840000
116.79,3,2,6,30,1,10.14,17,762120000
67.29,2,1,3,13,1,11.89,16,408700000
196.09,6,3,3,34,1,9.46,6,844540000
198.94,5,2,5,9,3,13.69,1,1080520000
110.61,3,2,4,12,1,15.64,5,575620000
190.62,6,3,4,32,1,15.35,5,903630000
110.19,3,2,5,31,1,5.95,17,579020000
146.95,3,3,2,11,0,15.33,20,827510000
123.54,4,2,2,2,1,17.03,11,427100000
170.55,5,3,6,17,1,10.95,9,982810000
191.61,6,3,4,9,2,8.85,6,1029130000
66.43,1,2,2,1,0,8.11,12,245400000
72.84,2,1,6,30,0,11.42,18,554450000
68.87,1,1,3,11,0,18.35,20,300120000
176.22,5,3,5,10,1,9.94,10,1062060000
88.02,2,2,4,8,0,16.31,9,356370000
84.07,2,1,5,6,0,6.42,19,438000000
90.4,3,2,4,15,0,7.01,3,332800000
200.11,5,4,4,7,1,9.19,8,903880000
84.0,2,1,6,30,1,6.6,8,454580000
154.27,4,3,6,20,1,7.51,9,1091740000
207.87,5,3,5,32,2,10.16,17,1047540000
54.02,2,1,5,11,0,18.05,15,330250000
96.74,3,1,6,5,1,0.5,17,546510000
154.15,4,3,4,22,1,9.3,13,688460000
206.89,5,3,3,30,2,7.48,4,974220000
118.42,4,1,4,23,1,7.12,2,558820000
91.03,3,2,4,13,0,7.19,7,520580000
168.81,4,3,3,34,1,17.03,7,738320000
139.5,4,3,3,26,1,14.36,8,542480000
185.66,4,3,3,2,1,8.68,10,763790000
192.23,5,4,4,16,1,11.54,5,967240000
207.79,6,4,4,8,2,10.95,2,1190180000
175.34,4,4,4,4,2,13.46,9,676320000
181.03,4,3,5,9,1,12.15,10,984900000
128.85,4,2,5,27,1,14.08,3,681630000
103.37,2,3,2,11,1,7.77,10,464620000
56.2,1,1,3,40,0,10.61,13,154730000
45.23,1,1,3,29,0,10.28,11,145810000
109.21,3,2,4,29,1,15.35,14,528020000
188.39,5,3,6,2,1,5.29,6,1152420000
152.06,3,2,6,12,2,10.95,8,909320000
176.66,5,3,2,5,2,6.09,5,745410000
73.52,1,1,4,0,1,16.05,3,273160000
138.48,3,3,3,14,0,14.52,11,524940000
209.59,5,4,2,15,2,15.99,19,881070000
112.31,4,2,3,31,1,12.61,13,480520000
203.25,5,3,6,26,2,9.84,2,1239860000
204.02,5,4,4,33,2,13.32,6,1000690000
110.09,2,3,3,14,0,9.8,19,515100000
106.57,3,2,3,38,0,18.91,8,386860000
70.33,2,1,4,39,0,14.89,18,331000000
65.92,2,1,2,15,1,11.19,19,310950000
184.47,4,3,2,22,2,12.06,3,884050000
80.53,3,2,5,32,0,11.95,13,568950000
41.67,1,1,3,8,0,11.2,20,319730000
137.01,4,2,4,26,2,9.76,20,766030000
209.97,5,3,5,39,2,13.05,5,1058070000
80.88,3,2,3,21,0,18.03,10,402140000
179.68,5,3,5,17,1,7.33,1,954370000
136.92,3,2,5,15,2,9.32,12,739670000
180.59,4,2,2,22,1,11.29,9,732850000
167.64,4,3,3,9,1,14.73,4,739020000
61.27,2,1,4,16,1,15.03,10,308220000
178.18,4,3,4,0,2,8.63,10,906270000
39.75,2,1,3,23,0,13.78,14,126280000
188.49,6,3,5,4,2,8.84,2,1128120000
82.02,2,1,4,20,1,10.58,3,448710000
185.65,5,3,3,38,2,19.07,17,671630000
173.02,5,3,3,14,2,13.58,5,862590000
185.02,5,4,4,16,1,12.98,2,791550000
155.47,4,3,4,0,1,7.82,5,924030000
134.28,4,2,4,12,0,15.49,2,524330000
131.64,5,3,3,10,0,13.29,5,538510000
129.35,3,3,4,30,1,16.08,19,665830000
151.0,6,3,3,3,1,14.77,7,565970000
146.35,4,2,3,22,1,13.43,1,554260000
74.87,3,1,3,1,1,11.91,4,294700000
69.85,3,1,4,19,0,4.01,9,467840000
170.38,5,3,4,11,1,9.29,8,816040000
101.59,3,2,3,31,0,9.12,20,441090000
112.41,3,2,4,4,1,8.99,11,643870000
152.72,4,3,3,5,0,13.26,17,732370000
162.14,5,3,4,33,1,9.16,18,749100000
40.18,1,1,6,14,0,8.54,6,351630000
43.8,2,1,2,39,0,15.18,15,159310000
160.87,4,3,4,0,2,5.59,13,948840000
78.23,2,1,5,32,0,14.71,16,534520000
140.69,4,2,4,1,1,12.77,12,814270000
87.62,3,2,4,16,0,12.02,19,485080000
63.72,2,2,2,11,0,11.84,1,268590000
75.3,2,2,3,16,0,7.48,13,314670000
76.38,2,1,2,21,1,18.82,4,252340000
181.67,5,2,2,29,1,18.73,16,688600000
141.86,4,2,3,1,1,15.19,12,599170000
171.94,4,4,4,15,1,20.18,13,824540000
38.2,2,2,3,11,0,4.87,7,300930000
91.89,3,2,3,36,1,16.79,12,527370000
133.33,4,2,3,4,1,6.84,16,551280000
89.35,3,2,4,34,0,19.68,10,440290000
108.35,2,2,4,2,1,12.75,12,658010000
168.76,4,2,6,25,1,3.78,5,990810000
158.8,3,2,4,36,2,16.7,11,755520000
138.84,5,2,5,3,2,8.5,1,675930000
80.61,1,2,3,9,1,10.82,3,355760000
136.61,4,2,4,21,1,15.86,19,731430000
201.65,5,3,4,37,1,9.22,13,1000780000
192.72,5,3,5,5,2,9.48,11,1121780000
168.6,5,3,5,10,2,10.26,16,845820000
180.63,5,3,3,21,1,22.55,6,819670000
133.58,4,3,4,17,0,12.1,12,780010000
97.96,3,1,4,34,0,7.85,8,436640000
157.91,5,3,3,19,2,5.43,8,770130000
42.42,2,1,4,15,0,15.51,20,290400000
150.84,4,3,6,28,1,4.96,7,974270000
110.48,3,2,6,4,0,16.02,15,542370000
66.49,1,2,3,7,0,14.32,6,282330000
77.94,3,2,3,38,0,11.7,1,364980000
139.43,3,2,4,25,1,14.14,5,685130000
114.67,4,2,4,13,1,5.37,5,659170000
98.41,3,1,5,19,1,10.43,6,549940000
188.39,6,3,5,15,2,3.69,8,1111670000
72.37,2,1,2,1,0,17.63,20,223760000
67.07,1,1,2,25,1,16.97,5,171870000
120.18,2,2,3,37,0,15.0,9,524700000
126.66,4,3,4,38,1,16.1,20,591530000
136.29,4,3,3,17,1,13.41,17,683660000
200.85,5,3,5,14,2,2.69,4,1006890000
58.44,2,2,4,16,0,13.31,10,438860000
180.22,5,2,4,26,1,14.54,12,696870000
72.63,2,1,4,25,0,13.54,13,347080000
205.13,5,3,6,8,2,8.38,2,1290350000
198.77,5,3,5,28,2,15.67,11,1023610000
110.53,4,2,2,10,1,10.15,19,444500000
208.94,6,4,3,4,2,16.58,1,950620000
166.91,4,3,4,5,1,12.28,2,944710000
91.26,2,1,5,3,0,6.82,14,679360000
42.61,2,1,6,9,0,3.17,1,448910000
134.61,4,2,3,5,1,5.81,17,708730000
145.62,5,2,3,35,1,12.59,18,513450000
52.16,1,1,3,16,0,13.86,6,275160000
167.26,5,3,3,40,1,13.3,20,769430000
205.75,5,3,2,18,1,16.41,3,741140000
195.32,6,3,3,25,2,9.55,6,840300000
136.18,3,2,3,11,0,11.98,9,579000000
113.92,3,2,4,14,1,1.69,16,606350000
55.44,1,1,4,2,0,4.93,11,448000000
84.99,3,2,5,14,0,5.36,18,400460000
114.86,4,2,3,24,0,15.32,19,500390000
67.32,2,2,3,27,0,11.84,5,319490000
170.02,4,4,2,18,1,16.53,18,628190000
136.65,4,2,5,26,1,11.67,13,860630000
49.28,2,1,6,15,0,8.13,18,360450000
179.85,6,3,5,36,2,12.14,10,1030360000
59.51,2,1,3,16,0,18.27,11,334930000
193.69,5,4,5,23,2,6.78,15,1003600000
176.8,5,3,2,34,1,9.54,12,591690000
60.69,2,2,4,19,0,12.99,13,398330000
71.39,2,2,4,7,1,9.07,1,506070000
175.07,4,3,2,20,1,11.6,12,697040000
89.02,2,2,3,13,0,6.57,2,385870000
197.06,6,4,3,37,1,19.83,18,821870000
93.17,3,2,2,36,0,16.87,2,362570000
115.37,3,2,3,14,1,6.9,11,600260000
61.94,1,1,6,34,0,3.84,20,370200000
42.66,2,1,4,39,0,12.45,2,186450000
82.57,3,2,4,17,1,5.36,10,442380000
44.64,1,1,3,4,0,10.91,13,80000000
170.25,5,2,4,23,1,17.31,9,636670000
68.3,3,1,4,39,0,10.28,2,368080000
106.64,3,1,5,27,1,10.39,12,611160000
139.11,3,1,2,5,1,16.62,9,527330000
104.62,3,2,4,1,0,24.3,15,396390000
70.82,2,1,5,15,0,6.8,15,381410000
45.8,3,1,3,13,0,8.08,1,349150000
83.97,4,2,5,32,1,7.77,16,353300000
109.57,4,2,6,2,0,5.9,5,703110000
176.08,4,3,4,40,1,8.06,3,801890000
67.73,2,1,5,25,0,10.42,18,368560000
155.93,4,2,3,38,1,7.34,14,787310000
63.81,2,1,3,33,0,12.48,9,116400000
40.07,1,1,3,12,0,13.55,11,240090000
167.56,5,4,3,9,1,9.35,9,854390000
77.74,3,2,4,19,0,3.73,14,531680000
203.1,5,4,3,35,1,12.14,7,834380000
176.84,5,3,5,4,2,7.58,13,978600000
199.94,5,3,5,18,1,3.69,7,1225330000
127.37,3,2,3,16,1,7.72,8,607740000
53.82,1,1,3,3,0,13.38,7,336560000
178.82,4,3,4,11,0,6.43,11,889360000
80.9,2,2,2,35,0,10.27,13,226570000
136.15,3,2,2,16,0,18.58,1,467970000
105.04,3,2,3,21,1,16.29,17,544940000
167.12,5,2,2,8,2,12.96,7,710630000
75.33,3,2,4,36,0,9.23,20,251430000
83.76,2,2,4,32,1,9.87,4,405200000
89.35,3,2,4,12,0,11.37,4,363090000
54.15,1,1,4,3,0,11.81,19,401880000
53.67,2,2,5,34,0,12.05,12,237080000
70.3,1,1,4,3,0,7.32,10,385290000
168.0,4,3,3,7,1,11.85,9,805690000
128.36,3,2,2,33,1,10.11,6,615600000
175.75,4,3,3,29,0,13.49,13,811120000
183.43,5,3,4,21,1,12.08,16,1004930000
111.4,3,2,4,3,1,16.0,9,620600000
134.07,4,2,2,31,1,19.23,15,395370000
114.65,4,2,4,3,1,10.67,20,545440000
126.43,3,2,2,4,0,15.85,1,424220000
170.97,4,4,2,31,1,20.63,7,680490000
45.53,1,2,3,3,0,16.48,18,292160000
171.59,4,3,4,37,2,13.47,3,943060000
181.89,5,2,3,40,1,11.33,14,809920000
168.7,4,1,4,33,0,11.47,18,960010000
148.23,5,2,3,25,1,9.81,18,605980000
64.26,2,1,2,29,0,14.16,2,340880000
81.36,2,2,5,10,1,12.87,14,546950000
110.89,4,1,3,11,1,11.84,1,450760000
182.67,5,3,4,12,1,15.86,8,931470000
88.16,2,1,3,24,0,11.03,11,459890000
51.51,1,1,3,14,0,10.81,12,194720000
194.22,5,3,3,9,2,11.2,7,893610000
61.53,1,1,3,12,0,10.84,1,216140000
114.36,3,1,4,5,0,11.39,18,763950000
124.64,3,2,4,10,1,11.17,16,506020000
172.76,4,4,6,11,1,9.35,11,1053680000
121.99,3,2,3,19,1,19.19,12,426220000
126.42,4,2,3,9,1,13.93,5,604910000
109.14,4,3,3,27,0,8.17,5,500260000
147.07,5,2,4,36,2,8.3,5,753050000
193.87,5,3,4,28,2,13.33,5,911880000
77.15,3,1,5,35,0,11.09,10,429840000
89.09,3,2,4,13,1,15.36,14,469370000
117.94,3,2,2,20,1,14.8,19,446680000
80.69,2,2,2,6,0,18.22,20,313340000
196.35,5,3,3,35,2,19.18,2,891020000
151.51,4,3,5,27,1,15.12,8,734640000
157.25,5,3,5,7,1,10.34,5,801840000
124.15,3,2,4,7,2,12.77,4,549700000
109.49,3,2,4,23,1,13.19,10,516980000
128.67,3,2,5,34,1,3.56,5,657540000
141.82,4,3,4,18,1,9.41,2,555340000
177.42,5,4,6,20,2,8.98,13,1107030000
119.47,4,2,5,32,2,9.37,16,769140000
114.79,3,2,4,27,1,12.89,20,739840000
161.38,4,2,2,14,1,8.52,4,631260000
92.44,2,2,3,40,0,11.3,11,332940000
38.75,1,1,4,0,0,14.82,16,164870000
166.14,6,3,4,7,1,9.94,18,890880000
195.69,6,3,5,20,2,7.89,4,980650000
110.6,2,2,5,1,2,11.62,16,652370000
153.87,3,3,3,15,1,9.23,20,828960000
166.6,4,3,5,5,2,6.46,3,887320000
145.61,5,3,5,25,1,5.34,12,725290000
193.86,5,2,4,15,2,16.79,6,1158270000
55.02,2,1,2,28,0,16.31,14,97030000
47.36,1,1,3,27,0,11.86,1,280200000
164.87,4,3,3,8,1,13.67,7,882330000
142.63,4,3,4,32,0,12.44,9,607480000
64.34,2,2,3,11,0,10.02,11,341150000
186.68,5,3,4,6,1,13.64,13,880310000
196.47,6,3,5,27,1,10.56,5,1076300000
125.91,4,2,3,29,0,22.03,3,627200000
120.7,3,1,4,7,1,12.53,1,642330000
69.6,1,1,2,6,0,12.38,9,387560000
145.29,4,3,3,9,0,8.6,7,694940000
165.85,5,3,2,39,1,10.19,3,640720000
67.34,2,2,3,17,0,13.12,11,311750000
95.59,2,1,5,35,0,10.09,10,560340000
130.8,4,3,4,33,2,10.76,4,583660000
97.83,2,3,3,29,0,16.3,19,554020000
129.51,4,3,6,20,1,7.39,3,885050000
185.34,5,3,4,30,1,17.3,17,827520000
89.63,3,1,3,39,0,10.93,2,343460000
50.36,1,1,4,9,0,7.17,17,266820000
73.49,3,2,3,31,1,14.82,15,403960000
112.25,3,2,5,27,1,11.82,10,483930000
70.88,3,2,4,23,0,11.53,8,513760000
76.09,2,2,2,28,0,10.71,9,363960000
188.52,6,3,4,25,1,10.77,5,863070000
189.91,5,3,5,24,1,13.59,18,989150000
163.79,4,4,5,40,2,10.85,15,916680000
105.6,3,1,6,15,0,5.39,6,638510000
40.64,1,1,5,20,0,11.24,2,247900000
61.33,1,2,4,20,0,8.66,1,345470000
67.22,2,1,3,19,0,15.01,1,264470000
177.95,5,2,2,2,2,15.03,3,601980000
147.54,4,3,3,5,1,8.99,2,707460000
43.76,1,1,2,6,0,15.12,12,241860000
112.88,3,1,5,38,0,5.33,10,621670000
206.64,5,2,4,38,1,6.57,19,1039090000
156.58,5,3,2,34,1,13.75,11,588730000
113.24,4,2,5,28,0,8.5,11,666120000
197.62,5,3,6,20,1,0.5,16,1153530000
162.43,5,3,3,30,1,15.6,5,678080000
107.5,3,1,2,37,1,15.62,6,408620000
159.93,4,3,5,36,1,14.92,1,1012040000
96.43,2,2,6,15,1,2.96,4,640270000
76.74,3,2,5,18,0,7.85,20,456590000
166.61,4,3,3,35,2,12.17,7,711630000
144.69,4,3,6,18,1,6.95,10,898970000
42.77,1,1,3,29,0,9.24,4,293440000
152.75,5,4,2,18,1,7.95,9,582190000
156.96,4,3,6,30,0,8.12,20,823130000
46.59,1,2,6,36,1,5.83,19,371680000
74.99,2,2,5,0,1,12.04,7,470050000
81.49,2,1,3,26,1,2.81,4,323730000
79.04,3,2,3,11,0,11.12,15,440840000
145.35,3,4,3,16,1,13.78,18,664770000
144.23,4,2,3,0,1,12.87,20,801030000
120.01,3,2,2,4,2,15.84,19,541730000
190.28,6,4,4,9,1,12.46,13,1032760000
115.23,3,2,5,27,1,5.44,2,637890000
95.88,3,3,3,34,0,10.46,9,236520000
128.63,4,2,4,38,1,11.53,9,504220000
173.22,5,3,2,26,1,17.44,20,801700000
92.15,3,1,5,24,0,7.35,18,513530000
99.87,4,2,4,7,1,10.86,6,426970000
64.43,2,2,3,21,1,12.39,18,265710000
124.91,3,2,3,39,1,15.8,17,574450000
179.72,4,3,2,11,2,13.21,5,874070000
150.46,5,3,3,32,1,20.14,12,593350000
47.68,2,1,3,16,0,22.94,13,176330000
124.68,4,1,4,10,1,7.69,5,605880000
129.81,4,2,3,0,1,10.48,16,593220000
149.98,4,3,5,33,1,7.15,4,928150000
183.68,4,3,4,0,1,8.57,3,964900000
173.49,4,3,5,35,1,10.44,3,795690000
166.68,4,3,3,7,1,10.24,8,783450000
95.95,2,2,6,17,0,2.4,4,668420000
174.01,5,3,5,26,1,3.02,9,956790000
130.13,4,3,4,28,1,16.27,4,694600000
52.76,2,1,3,33,0,16.4,11,97240000
85.2,2,2,4,3,1,6.97,14,656490000
82.28,4,2,2,32,1,9.05,7,432350000
133.11,3,3,4,8,1,23.09,1,716040000
121.13,3,2,6,26,0,2.74,6,609370000
84.53,1,2,3,20,0,7.16,2,401740000
123.85,3,3,3,31,1,2.34,13,617010000
181.91,5,3,4,5,1,9.05,10,970840000
55.45,2,2,4,34,0,7.76,9,357100000
162.69,4,2,4,30,1,5.72,10,854080000
54.4,2,2,5,17,0,18.79,14,365310000
103.99,4,2,2,7,1,13.91,10,535500000
96.44,3,2,2,31,0,10.15,3,349590000
72.01,3,2,3,38,0,9.4,3,478060000
99.53,3,1,2,36,1,14.46,6,420370000
100.59,2,2,2,10,0,11.57,20,385060000
99.31,3,2,3,24,1,11.4,1,449800000
200.64,6,3,6,10,1,4.8,6,1188700000
82.59,3,1,3,5,0,11.99,2,300230000
205.52,5,3,5,34,2,9.12,13,1189320000
102.42,3,2,2,5,1,18.53,4,386990000
133.08,3,3,3,8,1,17.1,2,576430000
200.19,6,4,6,22,1,4.92,10,1132370000
51.62,2,2,4,12,0,9.7,11,413540000
73.24,2,1,3,20,1,11.61,13,343490000
